loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,0.04783097,-0.4844783,0.1573981,-1.482795,-4.635218,-2.835104,0.4736768,1.2185,0.4911935,0.01370714,-0.05500099,-0.5176234,-1.520487,-4.504858,1.646702,0.3016166,1.116967,0.4804659,-0.01996483,-0.02482973,0.04974651,-0.5558693,1.299003,0.3940927,0.4859255,1.441597,0.415612,-0.04856068,-0.04750391,-0.01347277,-0.9866143,0.09715398,0.1220878,0.5562448,1.499741,0.2235579,0.05510502,1.145053,0.3784341,292.0074,198.3987,63.41942
3,0.01111111,0.04697501,-0.4539579,0.1658321,-1.483969,-4.631094,-2.834451,0.4731889,1.218348,0.4910729,-0.009232399,-0.06675401,-0.4816672,-1.521393,-4.500342,1.645918,0.3011633,1.116787,0.4795754,-0.0621672,0.01562345,0.007759684,-0.5565011,1.302493,0.3931513,0.4857185,1.441647,0.4156704,-0.04323389,0.0004379004,-0.01556896,-0.9866852,0.09915788,0.1211792,0.5563234,1.499717,0.2236052,0.05508594,1.144776,0.3767667,291.8411,199.1973,62.50962
3,0.02222222,0.04401783,-0.4010741,0.1805211,-1.48517,-4.628302,-2.833354,0.4728043,1.218162,0.4909489,-0.03842238,-0.07833564,-0.4222696,-1.52292,-4.496794,1.645392,0.3007424,1.11672,0.4789467,-0.1071759,0.03884925,-0.004463747,-0.5564606,1.304833,0.3938927,0.4855193,1.441671,0.4157236,-0.03687427,0.01002974,-0.01881591,-0.9869563,0.09968851,0.1210809,0.5564001,1.499724,0.2236342,0.05494463,1.144338,0.3749362,291.6712,199.7943,61.74786
3,0.03333334,0.03946519,-0.345694,0.1956993,-1.487295,-4.626262,-2.83233,0.4724097,1.218063,0.4907253,-0.0553963,-0.1007504,-0.361898,-1.524822,-4.494016,1.645147,0.3003445,1.116472,0.4780595,-0.1425743,0.08016925,-0.002831768,-0.5555364,1.308715,0.3933494,0.4854027,1.441749,0.415792,-0.04334991,0.002593309,-0.02622036,-0.9875954,0.09944044,0.1218809,0.5565658,1.49978,0.2236509,0.05476358,1.144237,0.3734342,291.9185,199.5039,61.77314
3,0.04444445,0.03784216,-0.3134196,0.2065515,-1.488859,-4.623374,-2.832209,0.4719461,1.217964,0.4905934,-0.0533231,-0.1146345,-0.3331386,-1.526592,-4.490761,1.644625,0.2998958,1.116161,0.4769709,-0.1502051,0.1003928,-0.007973345,-0.5550987,1.311887,0.3923808,0.485284,1.441814,0.4158554,-0.04972413,0.0004587509,-0.02509167,-0.9878586,0.09927718,0.1226692,0.5566839,1.499794,0.2237117,0.05464505,1.144096,0.3718357,291.9031,199.6298,61.39419
3,0.05555556,0.03349894,-0.2803958,0.2107529,-1.490843,-4.620637,-2.832431,0.4714793,1.217787,0.4904075,-0.04055623,-0.1301767,-0.3091927,-1.528392,-4.488138,1.644426,0.299529,1.115973,0.4761157,-0.1374038,0.09090894,-0.01241024,-0.5550762,1.313336,0.3922679,0.4851796,1.441819,0.4159036,-0.04959817,0.02280851,-0.01439447,-0.9875433,0.1004238,0.1225994,0.5567217,1.499813,0.2237461,0.05447208,1.144081,0.3703263,291.9656,199.4028,61.32057
3,0.06666667,0.024087,-0.2665197,0.2022531,-1.492078,-4.617585,-2.83254,0.4709458,1.217722,0.4903016,-0.03591971,-0.1309512,-0.2980847,-1.529436,-4.484859,1.644385,0.299092,1.115942,0.4754841,-0.1182836,0.08044621,-0.02543639,-0.5555642,1.314646,0.3917326,0.4850765,1.441822,0.4159,-0.04627766,0.03876809,-0.003745344,-0.9871188,0.101564,0.1223166,0.5567033,1.499823,0.2238173,0.05424336,1.144028,0.3685629,291.9277,199.3692,61.11577
3,0.07777778,0.009134809,-0.2567186,0.1843559,-1.493347,-4.614981,-2.832377,0.4704067,1.217579,0.4901783,-0.0351456,-0.1264614,-0.2839459,-1.530011,-4.482081,1.644693,0.298684,1.115876,0.4747269,-0.09379286,0.05088401,-0.04607706,-0.5568984,1.314718,0.3918202,0.4850006,1.441843,0.4159133,-0.04821315,0.05684459,0.01335818,-0.9862069,0.1029911,0.1221126,0.556768,1.499811,0.223841,0.05408534,1.144061,0.3671374,291.9148,198.9117,61.34517
3,0.08888889,-0.00410201,-0.2401738,0.1581802,-1.494127,-4.612637,-2.831972,0.4699617,1.217519,0.4899244,-0.03779191,-0.1145239,-0.266394,-1.530144,-4.479608,1.644945,0.2981874,1.11591,0.4740095,-0.07981937,0.04028937,-0.0398813,-0.5570401,1.31526,0.3918618,0.4848391,1.441877,0.4158902,-0.05574445,0.04088533,0.007014289,-0.9864072,0.1029068,0.1230335,0.5568423,1.499797,0.2238612,0.05393157,1.144014,0.3652119,291.9872,198.3982,61.7766
3,0.1,-0.00919608,-0.2345774,0.1478499,-1.494325,-4.61036,-2.831246,0.469488,1.21751,0.4898922,-0.04821071,-0.09182666,-0.2527818,-1.530697,-4.476841,1.64501,0.2977584,1.115826,0.4732821,-0.07119115,0.04452464,-0.02609156,-0.5566417,1.316179,0.3915989,0.4847309,1.441883,0.4159269,-0.0570059,0.01961406,-0.01006035,-0.9871805,0.1023523,0.1240245,0.5569065,1.499807,0.2239068,0.05398139,1.144414,0.3641813,292.1522,197.8396,62.28819
3,0.1111111,-0.01542524,-0.233887,0.1301652,-1.494348,-4.608434,-2.829642,0.4691536,1.217566,0.4897969,-0.07121518,-0.06476639,-0.2359956,-1.53069,-4.47413,1.645173,0.2972464,1.115873,0.4726896,-0.07552389,0.05621915,-0.02598603,-0.5565202,1.318245,0.3908189,0.4845968,1.441878,0.4159217,-0.04866864,0.03243395,-0.02717084,-0.988012,0.1034131,0.1237076,0.5569615,1.499865,0.2240129,0.05383416,1.144897,0.3629689,292.2934,197.2235,62.80468
3,0.1222222,-0.01652997,-0.2385122,0.1239257,-1.494627,-4.605942,-2.828708,0.4686387,1.217625,0.4898539,-0.07851214,-0.05426873,-0.2333975,-1.531066,-4.471099,1.645155,0.2967578,1.116054,0.4722571,-0.0841009,0.06044605,-0.02907645,-0.5566241,1.320028,0.3905089,0.4844832,1.441873,0.4159348,-0.04106333,0.06223566,-0.01441548,-0.9875486,0.1054701,0.1228317,0.5570434,1.499865,0.2240553,0.05373543,1.145372,0.3619589,292.3567,196.7318,63.13925
3,0.1333333,-0.03047118,-0.2465103,0.1100516,-1.494797,-4.602732,-2.827838,0.4680561,1.217687,0.4897974,-0.0793097,-0.04237807,-0.2516765,-1.53075,-4.467982,1.645694,0.29623,1.116235,0.4717381,-0.1076336,0.07097118,-0.03198684,-0.5566129,1.322278,0.3905475,0.4844003,1.441893,0.4158695,-0.03223288,0.08454996,0.01216512,-0.9862809,0.1073802,0.1217664,0.5571596,1.499847,0.224092,0.05356421,1.146168,0.3609116,292.396,196.084,63.69908
3,0.1444445,-0.05597661,-0.2572556,0.09139618,-1.494329,-4.598906,-2.827429,0.4675024,1.217753,0.4898942,-0.07158279,-0.02613655,-0.2759509,-1.530091,-4.464748,1.646761,0.2956924,1.116478,0.4712579,-0.1149764,0.06767963,-0.0223465,-0.5562976,1.323432,0.3910173,0.4843358,1.441935,0.4158263,-0.03127668,0.06326707,0.003594392,-0.9864807,0.1074198,0.1221893,0.5571833,1.499833,0.22416,0.05341721,1.146659,0.3598467,292.3476,195.5095,64.17234
3,0.1555556,-0.08335198,-0.2791148,0.06239962,-1.49358,-4.595843,-2.82644,0.467004,1.217926,0.4900122,-0.07038453,0.004869074,-0.2834083,-1.528447,-4.461105,1.648136,0.2950967,1.116819,0.470799,-0.09977318,0.05062292,-0.003410289,-0.5557426,1.323038,0.3919651,0.4843204,1.441963,0.415782,-0.03260301,0.02602704,-0.01883838,-0.9875289,0.1064493,0.123111,0.5573025,1.499821,0.2241442,0.05334746,1.147363,0.35889,292.2543,194.8524,64.80286
3,0.1666667,-0.09855707,-0.2822983,0.04532687,-1.492244,-4.592907,-2.824887,0.4665217,1.218197,0.4898043,-0.08652189,0.03478049,-0.2849586,-1.527284,-4.457983,1.649399,0.2946285,1.117187,0.470681,-0.07922589,0.01766778,0.006864674,-0.5557016,1.321247,0.393673,0.4842985,1.441993,0.4157531,-0.03594221,0.009011846,-0.03055693,-0.9883071,0.106125,0.1239222,0.5573688,1.499815,0.2241666,0.05329265,1.147962,0.3575074,292.282,194.3702,65.3656
3,0.1777778,-0.1172858,-0.280768,0.01986393,-1.49119,-4.590383,-2.823391,0.4660391,1.218375,0.4899256,-0.09706233,0.04906696,-0.2739741,-1.525427,-4.455195,1.65091,0.2940652,1.117622,0.4703839,-0.06852077,0.0092123,0.006715043,-0.5557091,1.320889,0.3943894,0.4842474,1.442024,0.4157469,-0.03700302,0.02073047,-0.0305217,-0.9885681,0.1068914,0.1239531,0.5574627,1.499815,0.2242126,0.05333091,1.148945,0.3568032,292.251,193.9477,65.78872
3,0.1888889,-0.1270369,-0.266823,0.01150559,-1.489771,-4.588744,-2.821496,0.4656177,1.218612,0.4897213,-0.113601,0.06961198,-0.2470286,-1.524417,-4.452808,1.65227,0.2935364,1.118052,0.4699409,-0.07069971,0.0156001,0.005703607,-0.555545,1.321786,0.3945209,0.4841516,1.442083,0.415659,-0.04438337,0.04628734,-0.02399351,-0.9883263,0.1086311,0.1237795,0.5575957,1.499772,0.2242081,0.05310397,1.149994,0.3560105,292.0378,193.5118,66.0442
3,0.2,-0.1391747,-0.2460216,0.003880855,-1.488882,-4.586633,-2.819937,0.4652162,1.218764,0.4898713,-0.1200384,0.0734012,-0.2358346,-1.523487,-4.450764,1.653922,0.2930331,1.11862,0.4700847,-0.08781771,0.03146531,0.008085217,-0.5550651,1.323298,0.3947534,0.4840737,1.442122,0.4156551,-0.04437815,0.06013621,-0.02396575,-0.988444,0.1100521,0.1234892,0.5576861,1.499754,0.2242422,0.0529229,1.150906,0.3551196,291.9036,193.0751,66.34753
