loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
7,0,0.6501602,-0.3364827,0.6914582,-1.497327,1.482783,-2.597619,0.3780292,1.22973,0.4465985,-1.137259,0.02178932,13.84615,17.16306,-0.4224437,0.5128913,-0.2400676,-0.5119826,-3.914329,-0.5062627,0.4008908,1.425128,0.3757792,-0.1909821,0.5418022,0.3287849,-1.13223,0.1428424,-0.1211981,0.5079079,1.485032,0.1878958,0.06123383,1.15927,0.397898,284.9532,274.4072,349.9064,True
7,0.01111111,0.6554548,-0.3344197,0.6711991,-1.501279,1.489506,-2.605721,0.3771594,1.228637,0.4453306,-1.136374,0.08070476,13.60743,16.84165,-0.4461188,0.5714375,-0.2557654,-0.518755,-3.903406,-0.5102459,0.3991497,1.424854,0.3757946,-0.213391,0.5620375,0.3258177,-1.129554,0.1508766,-0.1214828,0.5073959,1.485215,0.1884053,0.06127875,1.15725,0.39551,285.4181,280.388,343.2531,True
7,0.02222222,0.6607912,-0.3494514,0.6382294,-1.504243,1.496347,-2.613769,0.3764714,1.228131,0.4445949,-1.136572,-0.0188946,13.2626,16.45597,-0.4514953,0.6065613,-0.2471139,-0.5247508,-3.891841,-0.5150623,0.397673,1.424695,0.3757117,-0.198558,0.5652548,0.3161021,-1.12718,0.1584163,-0.1230543,0.5068585,1.485393,0.1889946,0.06118571,1.153783,0.3918025,286.1719,281.2638,341.4659,True
7,0.03333334,0.6192127,-0.3605116,0.5850775,-1.506223,1.502572,-2.61982,0.3757054,1.227793,0.4441059,-1.136804,-0.02093559,12.89124,16.04885,-0.414841,0.5745283,-0.1920391,-0.5274407,-3.883788,-0.5187803,0.3962396,1.424575,0.3756289,-0.1614019,0.5461116,0.3008284,-1.124978,0.1647732,-0.1251843,0.5063981,1.485594,0.1895204,0.06115197,1.149346,0.3871911,287.2229,280.3931,341.3172,True
7,0.04444445,0.5734229,-0.3930143,0.5128493,-1.506345,1.509319,-2.625375,0.3748557,1.226743,0.4421792,-1.136696,0.009902669,12.51989,15.64174,-0.3900374,0.5361636,-0.1592569,-0.5303419,-3.876369,-0.5216233,0.3948372,1.42438,0.3755705,-0.1359635,0.5237728,0.284586,-1.123007,0.1707761,-0.1271047,0.505906,1.485754,0.1900232,0.06131201,1.144343,0.382009,288.4333,279.4918,341.1869,True
7,0.05555556,0.5425935,-0.4371473,0.4374516,-1.505496,1.516051,-2.630985,0.3738533,1.226356,0.4417143,-1.134718,0.1807941,12.14854,15.19177,-0.3416509,0.4669453,-0.1181734,-0.5317757,-3.871389,-0.5237093,0.3935084,1.424226,0.3755417,-0.1064292,0.4982692,0.2501874,-1.122018,0.1762765,-0.1291673,0.505457,1.485981,0.1904244,0.06174652,1.139251,0.3767069,289.7871,278.3364,341.1259,True
7,0.06666667,0.5319449,-0.4468765,0.4151394,-1.50626,1.522538,-2.636941,0.3729312,1.225861,0.4411478,-1.134087,0.05626757,11.83024,14.80608,-0.3041753,0.4222825,-0.1078594,-0.5340144,-3.867,-0.5254779,0.3921226,1.424065,0.3755283,-0.09264156,0.4812409,0.2425808,-1.120225,0.1818613,-0.1310547,0.5049574,1.486156,0.1908545,0.06218043,1.134527,0.3717407,291.0405,277.1663,341.2206,True
7,0.07777778,0.4882257,-0.4687162,0.3354053,-1.504222,1.528214,-2.641327,0.3718943,1.225526,0.4409823,-1.134304,-0.02004117,11.53846,14.46325,-0.2742257,0.3776305,-0.1102864,-0.5364411,-3.864112,-0.5260819,0.390793,1.423875,0.3755348,-0.0989778,0.4620515,0.2468715,-1.117929,0.1871203,-0.1321239,0.5042269,1.486288,0.1913157,0.06244867,1.130431,0.3672468,291.9649,276.0655,341.547,True
7,0.08888889,0.4582737,-0.4508482,0.3119469,-1.504624,1.533517,-2.645796,0.3710064,1.225067,0.4406385,-1.134894,-0.05357999,11.29973,14.16327,-0.2742186,0.3669964,-0.1156403,-0.539729,-3.85908,-0.5273286,0.3892975,1.42368,0.3755057,-0.1137959,0.4609645,0.2576554,-1.11539,0.1932419,-0.1330497,0.5036764,1.486419,0.1917474,0.06255516,1.127183,0.3635004,292.6846,274.9963,341.7848,True
7,0.1,0.4144053,-0.4170537,0.284205,-1.505485,1.537668,-2.649152,0.370102,1.224892,0.4409776,-1.133629,0.1162123,11.19363,13.90615,-0.2966623,0.3935679,-0.1143718,-0.543507,-3.851233,-0.5299184,0.3877971,1.423502,0.3754313,-0.1328223,0.4683904,0.2738172,-1.112605,0.1997571,-0.1339181,0.502997,1.486534,0.1922915,0.06256792,1.124822,0.3606411,293.0995,274.3523,341.7782,True
7,0.1111111,0.3897494,-0.393855,0.2543127,-1.505256,1.541632,-2.652863,0.3691497,1.224562,0.4407165,-1.133836,-0.01972963,11.11406,13.67045,-0.3222045,0.4371178,-0.09067228,-0.5469638,-3.840882,-0.5344346,0.3863693,1.423357,0.3753152,-0.135864,0.4790196,0.2919719,-1.109556,0.2066272,-0.1353493,0.5023278,1.486665,0.1927395,0.06240929,1.123255,0.3587469,293.2613,273.7893,341.917,True
7,0.1222222,0.3693899,-0.372701,0.2404095,-1.505609,1.545801,-2.656583,0.3681665,1.224291,0.4405031,-1.133135,0.06453096,11.06101,13.49904,-0.3337894,0.4668217,-0.05430495,-0.5496147,-3.830202,-0.5395247,0.385079,1.423229,0.3751748,-0.130632,0.472644,0.2812594,-1.107572,0.2125224,-0.1367022,0.5018154,1.486727,0.1931417,0.06217694,1.122368,0.3577277,293.2477,273.7348,341.8136,True
7,0.1333333,0.3586363,-0.3514649,0.235009,-1.50628,1.549675,-2.660409,0.3672689,1.22394,0.4401791,-1.133733,-0.05507932,11.00796,13.37047,-0.3251002,0.4561421,-0.03308069,-0.5517441,-3.822298,-0.5431134,0.3837957,1.423034,0.3750546,-0.1222905,0.4588256,0.2609336,-1.105927,0.2179334,-0.1380274,0.5012708,1.48687,0.1935756,0.06180989,1.122008,0.3574525,293.1457,273.9842,341.6379,True
7,0.1444445,0.3521104,-0.3238375,0.2253097,-1.506989,1.552978,-2.664304,0.3664144,1.223597,0.4398515,-1.134098,-0.03259935,10.95491,13.28477,-0.3088234,0.3954158,-0.01202855,-0.5524216,-3.818033,-0.5439501,0.3826533,1.422935,0.374927,-0.09700316,0.4343811,0.2287093,-1.105061,0.2225654,-0.1398599,0.5007938,1.486863,0.193821,0.06132149,1.121932,0.3576031,292.8913,274.2878,341.6911,True
7,0.1555556,0.3316736,-0.2962575,0.2104139,-1.507323,1.556014,-2.66736,0.3655917,1.223265,0.4394796,-1.134493,-0.03572981,10.82228,13.26334,-0.2904631,0.3177,-0.009147692,-0.5529122,-3.816684,-0.5426691,0.3815019,1.422738,0.3748376,-0.08572723,0.4248781,0.1795871,-1.105287,0.2274921,-0.1414213,0.500286,1.486964,0.19418,0.0608069,1.121899,0.357826,292.5984,274.6944,341.7292,True
7,0.1666667,0.2748958,-0.229526,0.18349,-1.508766,1.560084,-2.671861,0.3641404,1.222434,0.4387045,-1.134831,-0.03048899,10.66313,13.30619,-0.2572046,0.2262131,-0.01598718,-0.5548494,-3.813339,-0.540912,0.3791448,1.422306,0.3747106,-0.0820263,0.4100744,0.115606,-1.105819,0.2373662,-0.1441601,0.4995213,1.487131,0.1949193,0.06035893,1.121687,0.357811,292.3504,275.1314,341.6715,True
7,0.1777778,0.2598562,-0.2029666,0.1812643,-1.509815,1.56218,-2.674369,0.3632946,1.222068,0.4383433,-1.136286,-0.1326595,10.5305,13.45618,-0.2498853,0.2401307,-0.03197684,-0.5574102,-3.808723,-0.542218,0.3778964,1.422099,0.3745983,-0.08430433,0.4132968,0.09965187,-1.105835,0.2427312,-0.1455045,0.499005,1.487021,0.1952744,0.05988396,1.121102,0.3573452,292.1904,275.4824,341.5857,True
7,0.1888889,0.2480434,-0.1817209,0.1790616,-1.510962,1.564169,-2.676786,0.3625825,1.22174,0.4378796,-1.133666,0.2407202,10.4244,13.67045,-0.255446,0.2849084,-0.04993021,-0.5608026,-3.802111,-0.5448079,0.3767223,1.421925,0.3744359,-0.08864211,0.4154391,0.0911711,-1.105806,0.2480207,-0.1467378,0.4985218,1.487035,0.1956172,0.05930866,1.119941,0.3562156,292.1187,275.6659,341.4853,True
7,0.2,0.2309663,-0.1764759,0.1769458,-1.511926,1.566685,-2.678904,0.3616151,1.22168,0.4379051,-1.133814,-0.01567592,10.39788,13.949,-0.2673017,0.3062225,-0.06366397,-0.5640586,-3.796679,-0.5460322,0.3754819,1.421735,0.3743269,-0.08454689,0.4197373,0.07303535,-1.106287,0.2535054,-0.1483828,0.497908,1.487044,0.1959803,0.0588789,1.118317,0.3545735,292.4085,275.5286,341.3301,True
7,0.2111111,0.2160717,-0.1818753,0.174863,-1.512625,1.569507,-2.680988,0.3608218,1.221521,0.437407,-1.134052,-0.02115145,10.4244,14.22755,-0.2545842,0.3275701,-0.06475,-0.5669721,-3.790434,-0.5488727,0.3744726,1.421645,0.3741062,-0.07054995,0.406935,0.08887006,-1.105439,0.2583129,-0.1502119,0.497271,1.487172,0.1962426,0.05858482,1.11647,0.3526609,292.9131,275.1765,341.199,True
7,0.2222222,0.1990345,-0.1840865,0.1770302,-1.513388,-4.710701,-2.682812,0.3599153,1.221246,0.4369464,-1.133996,0.005460086,10.47745,14.50611,-0.2395191,0.29882,-0.05320137,-0.5684651,-3.786838,-0.5497577,0.3735161,1.421567,0.3739862,-0.05650765,0.3877366,0.1100213,-1.104088,0.2627741,-0.1520207,0.4968067,1.487292,0.1965003,0.05839932,1.114633,0.3506942,293.4926,274.7513,341.0894,True
7,0.2333333,0.1660599,-0.1948715,0.1792614,-1.514143,-4.707482,-2.683716,0.3589952,1.221099,0.4364591,-1.134181,-0.01676383,10.55703,14.78466,-0.239449,0.267936,-0.05540849,-0.5700587,-3.784281,-0.5491718,0.3725495,1.421519,0.3738565,-0.04341257,0.3482751,0.1428681,-1.101864,0.2661254,-0.1535246,0.4961793,1.487434,0.1967475,0.05816833,1.11302,0.3488634,294.0382,274.3309,341.0278,True
7,0.2444444,0.1128599,-0.2067943,0.1857883,-1.514927,-4.704013,-2.683467,0.3579445,1.22107,0.4359248,-1.134168,0.001431735,10.61008,15.04178,-0.2372746,0.2370824,-0.06402463,-0.5719208,-3.782441,-0.5481459,0.3717654,1.421515,0.373693,-0.04321453,0.3130975,0.1641259,-1.099619,0.2693297,-0.1544498,0.4955786,1.487541,0.1969166,0.057962,1.112169,0.3478964,294.1631,272.2535,343.2745,True
7,0.2555556,0.1128599,-0.2067943,0.1857883,-1.514927,-4.704013,-2.683467,0.3579445,1.22107,0.4359248,-1.133482,0.06293058,10.61008,15.25605,-0.2372746,0.2370824,-0.06402463,-0.5719208,-3.782441,-0.5481459,0.3717654,1.421515,0.373693,-0.04321453,0.3130975,0.1641259,-1.099619,0.2693297,-0.1544498,0.4955786,1.487541,0.1969166,0.05779698,1.111901,0.3474448,294.2905,272.11,343.5976,True
