loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
4,0,-0.1131038,-0.7709731,0.281451,-1.430207,1.515878,-3.003903,0.3478084,1.197439,0.4717102,-1.576551,-0.04783855,-0.4961009,0.4120169,0.08809718,-0.7659097,-3.59583,-0.5594817,0.3087322,1.402877,0.3736501,-0.1839556,0.5264531,0.1445984,-0.9852844,0.6250639,-0.2192359,0.4488863,1.507127,0.2458951,0.05964203,1.124447,0.4127719,286.535,269.7892,350.9188,False
4,0.01111111,-0.1120463,-0.7614109,0.2782117,-1.432071,1.524528,-3.003853,0.3460561,1.197191,0.4707661,-1.576348,0.01905089,-0.4949634,0.4183972,0.09875677,-0.7672354,-3.588734,-0.5592185,0.3077145,1.402652,0.3727379,-0.1925001,0.4966297,0.1446283,-0.9847155,0.6308329,-0.2199955,0.4486697,1.50713,0.2460737,0.05801433,1.124602,0.409677,286.4926,265.3575,355.2359,False
4,0.02222222,-0.1226859,-0.7444024,0.2759182,-1.433995,1.53263,-3.003573,0.3443068,1.196788,0.4698267,-1.576311,0.003271865,-0.4872274,0.4407041,0.1403179,-0.767507,-3.579373,-0.5611704,0.3068373,1.402559,0.37184,-0.2064312,0.4732042,0.1361789,-0.9844572,0.636301,-0.2202096,0.4485065,1.507149,0.2460189,0.0565137,1.124506,0.4059324,286.4981,264.0696,356.0308,False
4,0.03333334,-0.1376686,-0.7294828,0.2832204,-1.436415,1.540877,-3.002627,0.3426256,1.196592,0.468864,-1.576427,-0.01064613,-0.4559499,0.4204848,0.1826473,-0.7667677,-3.571843,-0.5626636,0.3060716,1.402493,0.3709483,-0.2023534,0.4615154,0.1126982,-0.985083,0.6420374,-0.2213007,0.4483481,1.507251,0.2460473,0.05519353,1.124199,0.4016879,286.5731,263.8184,355.5192,False
4,0.04444445,-0.1590339,-0.7177538,0.2915473,-1.438825,1.548884,-3.001224,0.3411497,1.196348,0.4679255,-1.576341,0.008034477,-0.4216278,0.4024274,0.2015513,-0.7663385,-3.565066,-0.5644122,0.3054075,1.40265,0.3702102,-0.1675215,0.4445001,0.07192603,-0.9866596,0.6469054,-0.2233138,0.4482315,1.507245,0.2459161,0.05406409,1.123754,0.3971565,286.6912,263.4472,354.9873,False
4,0.05555556,-0.1707557,-0.7156473,0.2925532,-1.441099,1.5574,-3.000077,0.339601,1.196103,0.4669402,-1.575724,0.05633012,-0.3960079,0.3833275,0.2013143,-0.7664727,-3.559063,-0.5652325,0.3046836,1.40263,0.3694115,-0.1452745,0.4253854,0.05149905,-0.9878207,0.6522246,-0.2256464,0.448203,1.507022,0.2453661,0.05303463,1.123251,0.3925824,286.8236,263.0342,354.4712,False
4,0.06666667,-0.1910326,-0.7028626,0.2987571,-1.443525,1.565087,-2.998348,0.3381264,1.195917,0.4660602,-1.575362,0.03268926,-0.3574594,0.3258829,0.2040986,-0.7651666,-3.555753,-0.5652685,0.3041526,1.40271,0.368623,-0.1443405,0.3849165,0.03758972,-0.9885313,0.6553272,-0.2257359,0.4483112,1.507034,0.2451165,0.05208142,1.122832,0.3881485,286.9962,262.7592,353.8903,False
4,0.07777778,-0.2049074,-0.6826335,0.3007171,-1.44615,-4.710762,-2.9967,0.3367448,1.195812,0.4652476,-1.575682,-0.02934632,-0.3276291,0.271678,0.1845914,-0.764731,-3.553342,-0.5643422,0.3035607,1.402802,0.3680019,-0.1602334,0.3274244,0.05149833,-0.9878091,0.6581838,-0.2249543,0.4483691,1.506948,0.2448509,0.05121663,1.122622,0.3839756,287.1288,262.5405,353.3761,False
4,0.08888889,-0.2103023,-0.659184,0.3048349,-1.448824,-4.703653,-2.995019,0.3354111,1.195803,0.464257,-1.575413,0.0250237,-0.3011488,0.2611432,0.1598683,-0.7652221,-3.549373,-0.5648637,0.3031484,1.402897,0.3671694,-0.1814972,0.2848198,0.0601322,-0.9872589,0.6605594,-0.223558,0.44848,1.507103,0.2448015,0.05038233,1.122681,0.3801004,287.1674,262.3405,352.9544,False
4,0.1,-0.2210332,-0.6282798,0.3099204,-1.45152,-4.697237,-2.992998,0.3341734,1.195792,0.46332,-1.575665,-0.0232229,-0.2872683,0.2388237,0.1565378,-0.7649105,-3.545469,-0.5648607,0.3027341,1.403195,0.3665307,-0.184629,0.2613685,0.07077879,-0.9866202,0.6633347,-0.2229138,0.448671,1.507135,0.2445936,0.04954552,1.123047,0.3765739,287.1342,262.2247,352.5071,False
