loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
5,0,-0.01913044,-1.328359,0.3497993,-1.373213,-4.576674,-2.914734,0.3982096,1.225035,0.4148252,-0.5325553,-0.1077391,-1.329164,-1.413788,-4.441368,1.650212,0.2553954,1.125675,0.3937638,0.0005095343,0.0002766503,0.001121999,-0.006532734,-2.150123,0.5765808,2.767428,0.7739247,1.075175,-0.0006538576,-0.000434408,-0.0008591636,-0.0129925,-2.346194,-2.981714,2.714942,0.7772672,0.9581561,0.0820414,1.099216,0.2869411,293.8567,188.0425,57.10793
5,0.01111111,-0.06692997,-1.376306,0.3572299,-1.373119,-4.559418,-2.910446,0.3945183,1.224905,0.414881,-0.5532552,-0.09014714,-1.38096,-1.41385,-4.423459,1.649064,0.2514517,1.12556,0.3912177,0.001574902,0.0003885378,0.00113831,-0.006468286,-2.14224,0.568685,2.767474,0.7739519,1.075193,0.0004704203,-0.0005175931,0.0001403344,-0.0129925,-2.344157,-2.983855,2.714956,0.7772287,0.9581388,0.07983911,1.099193,0.2823249,294.0035,187.8334,57.09618
5,0.02222222,-0.1862467,-1.422377,0.3586467,-1.372585,-4.54057,-2.906114,0.3903615,1.224892,0.4147768,-0.574141,-0.07164466,-1.457444,-1.413343,-4.405149,1.651168,0.2469205,1.125906,0.3884501,0.001614001,0.0003950221,-0.002054536,-0.006532734,-2.130142,0.55663,2.767351,0.773837,1.075086,0.002758804,0.002525327,-0.001040101,-0.0129648,-2.353914,-2.974208,2.714933,0.7772118,0.958132,0.07774106,1.100053,0.2770212,293.6541,187.9621,56.66264
5,0.03333334,-0.2672934,-1.427997,0.3483351,-1.371122,-4.522426,-2.901649,0.3860561,1.224867,0.4146099,-0.5931633,-0.03746545,-1.511858,-1.412618,-4.388515,1.65301,0.2427934,1.126116,0.3858747,0.001483114,0.001449837,7.563982E-05,-0.006450176,-2.131829,0.5583501,2.767375,0.773851,1.07517,0.0004697152,-0.0005177475,0.000140323,-0.01299729,-2.344881,-2.983128,2.714916,0.7771897,0.9581623,0.0756517,1.100411,0.2716396,293.3457,187.9785,56.33118
5,0.04444445,-0.3908006,-1.440138,0.3304539,-1.369974,-4.505675,-2.896738,0.3820466,1.224779,0.4144559,-0.6111565,-0.0201292,-1.51315,-1.410859,-4.371227,1.657912,0.2384723,1.126813,0.3831456,-0.0004264851,-0.0008769308,-0.001027107,-0.006623282,-2.133027,0.5595965,2.767342,0.7738856,1.075221,0.0005591835,0.001617749,-0.00091497,-0.01303351,-2.354791,-2.973205,2.714941,0.7771193,0.958095,0.07356409,1.101987,0.2660536,292.7171,188.355,55.66721
5,0.05555556,-0.5196468,-1.463387,0.3207213,-1.36823,-4.489177,-2.890556,0.3777564,1.224849,0.414242,-0.6533682,0.00965333,-1.514255,-1.409028,-4.353381,1.663691,0.2340322,1.127792,0.3803027,-0.001663114,0.001147978,-0.003165546,-0.006587595,-2.117187,0.5438425,2.767361,0.7739177,1.075257,-0.0006657008,-0.00149944,0.0002056774,-0.01307026,-2.347122,-2.980862,2.714968,0.7770836,0.9581895,0.07134243,1.103808,0.2603272,292.056,188.8578,54.88212
5,0.06666667,-0.6188328,-1.489362,0.3109544,-1.3659,-4.471708,-2.884484,0.3732293,1.225111,0.4140592,-0.6822063,0.03951645,-1.536982,-1.406731,-4.33496,1.669929,0.2296531,1.128904,0.377351,0.0005217218,0.0002763282,-0.001004535,-0.006587595,-2.147089,0.5737698,2.767343,0.7738876,1.075242,0.001446383,-0.001648579,8.875411E-05,-0.0131427,-2.346447,-2.981504,2.714944,0.7770711,0.9581696,0.06901174,1.106679,0.2549822,291.2846,189.506,53.93842
5,0.07777778,-0.7752138,-1.542348,0.279398,-1.363326,-4.452986,-2.879597,0.3686578,1.225543,0.413882,-0.6865799,0.05352306,-1.578582,-1.402779,-4.315174,1.679124,0.2248969,1.130484,0.3742197,-0.0005538532,0.000172507,4.49127E-05,-0.006550844,-2.140545,0.5672243,2.76734,0.7739046,1.075247,0.0003985727,-0.0005057317,-0.0009114259,-0.01312459,-2.347942,-2.979934,2.714975,0.7771269,0.9581407,0.06671948,1.110332,0.2500085,290.4746,190.2542,52.90775
5,0.08888889,-0.8645601,-1.591346,0.2860386,-1.359743,-4.435296,-2.87096,0.364017,1.226245,0.4135885,-0.7661333,0.09882927,-1.60683,-1.399883,-4.295116,1.686913,0.2200716,1.132468,0.3710039,-0.0007570493,0.002286614,3.964608E-05,-0.006659501,-2.141688,0.5684315,2.767426,0.7738334,1.075203,0.0003277555,-0.001570173,-0.0009153513,-0.01308358,-2.344405,-2.98354,2.714984,0.7771672,0.9581758,0.06454711,1.113138,0.2448666,289.809,190.9084,52.01097
5,0.1,-0.9696529,-1.607002,0.2600769,-1.356532,-4.417625,-2.861093,0.3589481,1.226978,0.4133143,-0.8578315,0.1271232,-1.620548,-1.395598,-4.27615,1.695998,0.2148976,1.134721,0.3678536,-0.0005526774,0.0001643859,3.783832E-05,-0.006686132,-2.149735,0.5764103,2.767429,0.7738472,1.075199,0.002536109,0.0004127473,-0.00210029,-0.01300155,-2.352466,-2.975526,2.714952,0.7771801,0.9581013,0.06218346,1.117953,0.2392907,288.739,192.363,50.46812
