ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
0,0,44,104,497,498,0.1043454,0.08539969,0.1850029,-1.422219,-2.615166,-1.487714,0.2298424,0.2249814,-0.233929,-0.557226,-2.682974,1.257419
0,0.01111111,44,104,497,498,0.1032796,0.1099322,0.1798502,-1.424042,-2.616689,-1.488378,0.2383558,0.2281739,-0.2328976,-0.5603275,-2.679664,1.251979
0,0.02222222,44,104,497,498,0.1043644,0.1216569,0.1788602,-1.426133,-2.618217,-1.489344,0.2437247,0.2324422,-0.2254752,-0.5633901,-2.676271,1.246265
0,0.03333334,44,104,497,498,0.1053751,0.1313121,0.1704036,-1.428033,-2.619858,-1.490178,0.247963,0.2345638,-0.2286697,-0.5663958,-2.672845,1.240663
0,0.04444445,44,104,497,498,0.1043037,0.1355875,0.1683151,-1.429966,-2.621364,-1.4911,0.251094,0.218561,-0.2361041,-0.5697423,-2.670961,1.236221
0,0.05555556,44,104,497,498,0.1063772,0.136688,0.1640483,-1.431903,-2.622825,-1.491769,0.2510192,0.1993858,-0.2403179,-0.5728853,-2.669459,1.232392
0,0.06666667,44,104,497,498,0.1074226,0.1356281,0.1619035,-1.433723,-2.624157,-1.492787,0.2563256,0.1706301,-0.2328186,-0.5755155,-2.668984,1.228986
0,0.07777778,44,104,497,498,0.1084972,0.1377632,0.1640401,-1.435811,-2.625826,-1.493588,0.2499782,0.1546937,-0.2178234,-0.5776998,-2.667894,1.225444
0,0.08888889,44,104,497,498,0.1095471,0.1345524,0.1640081,-1.437732,-2.62687,-1.494591,0.2489212,0.1461857,-0.2124724,-0.580281,-2.666833,1.22182
0,0.1,44,104,497,498,0.1127999,0.1398117,0.1704233,-1.441967,-2.629607,-1.496706,0.2458106,0.1238844,-0.1825402,-0.5837718,-2.664842,1.214922
0,0.1111111,44,104,497,498,0.1127999,0.1398117,0.1704233,-1.441967,-2.629607,-1.496706,0.2458106,0.1238844,-0.1825402,-0.5837718,-2.664842,1.214922
0,0.1222222,44,104,497,498,0.1138756,0.1408696,0.1714858,-1.444027,-2.631067,-1.49779,0.2489855,0.1025823,-0.1782444,-0.5857319,-2.665072,1.212236
0,0.1333333,44,104,497,498,0.1106476,0.1451754,0.1683539,-1.446017,-2.632883,-1.498471,0.2467976,0.08556056,-0.1824646,-0.5881512,-2.665013,1.209534
0,0.1444445,44,104,497,498,0.1106628,0.1440935,0.1704774,-1.448091,-2.634306,-1.499535,0.2435984,0.07598636,-0.179232,-0.5901603,-2.665252,1.207101
0,0.1555556,44,104,497,498,0.1084936,0.1377266,0.1672424,-1.449753,-2.635525,-1.500568,0.2393606,0.07281327,-0.1728133,-0.5920367,-2.665103,1.204438
0,0.1666667,44,104,497,498,0.1137136,0.1228343,0.1596377,-1.453347,-2.637426,-1.502865,0.2214082,0.07716024,-0.1429084,-0.5949193,-2.663998,1.198855
0,0.1777778,44,104,497,498,0.1137136,0.1228343,0.1596377,-1.453347,-2.637426,-1.502865,0.2214082,0.07716024,-0.1429084,-0.5949193,-2.663998,1.198855
0,0.1888889,44,104,497,498,0.1179631,0.1175054,0.1595618,-1.455228,-2.638558,-1.504168,0.2162267,0.0889501,-0.116279,-0.595885,-2.662126,1.19506
0,0.2,44,104,497,498,0.1221672,0.1122089,0.1541613,-1.456902,-2.639543,-1.505527,0.2078492,0.1018165,-0.09389441,-0.5969401,-2.659642,1.190647
0,0.2111111,44,104,497,498,0.1199713,0.1090847,0.1456288,-1.460063,-2.641808,-1.508044,0.1941285,0.1136007,-0.07467622,-0.5990456,-2.656029,1.183408
0,0.2222222,44,104,497,498,0.1145996,0.11446,0.1414625,-1.461614,-2.642889,-1.50914,0.1877384,0.1210759,-0.0757113,-0.6005705,-2.654131,1.180025
0,0.2333333,44,104,497,498,0.1145996,0.11446,0.1414625,-1.461614,-2.642889,-1.50914,0.1877384,0.1210759,-0.0757113,-0.6005705,-2.654131,1.180025
0,0.2444444,44,104,497,498,0.1102672,0.1166747,0.1287138,-1.464337,-2.645375,-1.511199,0.1707152,0.1253574,-0.07353815,-0.6031612,-2.650766,1.173728
0,0.2555556,44,104,497,498,0.1102111,0.1188606,0.1212725,-1.465578,-2.64673,-1.512275,0.1568991,0.1296575,-0.06815803,-0.6043208,-2.648645,1.170595
0,0.2666667,44,104,497,498,0.1102111,0.1188606,0.1212725,-1.465578,-2.64673,-1.512275,0.1568991,0.1296575,-0.06815803,-0.6043208,-2.648645,1.170595
0,0.2777778,44,104,497,498,0.1100917,0.1093433,0.1105513,-1.466585,-2.647567,-1.513288,0.1451982,0.1285954,-0.06810436,-0.6055394,-2.647272,1.167904
0,0.2888889,44,104,497,498,0.1100299,0.1019248,0.1051713,-1.467673,-2.648462,-1.514439,0.143003,0.1179245,-0.07765754,-0.606976,-2.646393,1.165651
0,0.3,44,104,497,498,0.1056196,0.08283672,0.09228501,-1.468342,-2.648557,-1.515503,0.1354474,0.09979716,-0.09143017,-0.6084812,-2.646362,1.164344
0,0.3111111,44,104,497,498,0.09150583,0.04467698,0.06974356,-1.468321,-2.647946,-1.516368,0.135305,0.08379576,-0.1105818,-0.6105211,-2.646327,1.163054
0,0.3222222,44,104,497,498,0.05808332,-0.01467473,0.03869151,-1.467776,-2.646155,-1.516283,0.1256796,0.08698802,-0.1201328,-0.6124035,-2.645779,1.161472
