ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
0,0,112,296,501,502,0.2307252,-0.2031509,-0.07676451,-1.399834,3.130889,-1.633206,0.008888345,0.001541859,0.06977783,-1.021289,-2.674288,1.629286
0,0.01111111,104,288,500,496,0.2357914,-0.2254023,-0.08285573,-1.403074,3.133698,-1.634136,-0.01795201,-0.01026309,0.06205435,-1.020241,-2.673923,1.628746
0,0.02222222,104,288,500,496,0.2373895,-0.2659491,-0.08803788,-1.406381,3.136639,-1.635661,-0.04506683,-0.02178581,0.04482362,-1.01888,-2.673659,1.628807
0,0.03333334,104,288,500,496,0.2439024,-0.3144067,-0.09006894,-1.409999,3.14109,-1.636444,-0.05850995,-0.009891912,0.03753466,-1.018088,-2.672846,1.628581
0,0.04444445,104,288,500,496,0.2458046,-0.358297,-0.0908924,-1.413514,-3.137342,-1.637148,-0.05613666,0.00742311,0.04715956,-1.017907,-2.671545,1.627472
0,0.05555556,99,298,500,496,0.2417682,-0.3880038,-0.09833425,-1.416808,-3.132385,-1.638135,-0.03884441,0.03675323,0.03666871,-1.018563,-2.670436,1.627254
0,0.06666667,99,298,500,496,0.2417682,-0.3880038,-0.09833425,-1.416808,-3.132385,-1.638135,-0.03884441,0.03675323,0.03666871,-1.018563,-2.670436,1.627254
0,0.07777778,99,298,500,496,0.2449597,-0.4257914,-0.106163,-1.420321,-3.126949,-1.639123,-0.0007237233,0.09036402,0.01094034,-1.02089,-2.669178,1.627827
0,0.08888889,99,298,500,496,0.2474822,-0.4543717,-0.1142075,-1.424139,-3.121503,-1.640843,0.002434321,0.1024999,-0.01511238,-1.021822,-2.668423,1.628758
0,0.1,99,298,500,496,0.2421385,-0.4841909,-0.1204378,-1.430749,-3.110642,-1.642979,-0.04786009,0.1351354,0.02805704,-1.021605,-2.663621,1.626894
0,0.1111111,97,202,500,506,0.2457562,-0.4909258,-0.1108166,-1.434223,-3.105238,-1.643513,-0.06784056,0.1347511,0.0589422,-1.021245,-2.660788,1.625083
0,0.1222222,97,202,500,506,0.2385207,-0.5022685,-0.112438,-1.437327,-3.099371,-1.644312,-0.09042618,0.1094741,0.07814713,-1.020175,-2.658823,1.623572
0,0.1333333,97,202,500,506,0.2348542,-0.5165851,-0.125723,-1.440557,-3.093276,-1.64567,-0.07884856,0.08227384,0.02522792,-1.019786,-2.658956,1.624825
0,0.1444445,97,202,500,506,0.2348542,-0.5165851,-0.125723,-1.440557,-3.093276,-1.64567,-0.07884856,0.08227384,0.02522792,-1.019786,-2.658956,1.624825
0,0.1555556,91,176,500,497,0.2275321,-0.6087591,-0.1758433,-1.447208,-3.077829,-1.649476,0.001714626,0.09748369,-0.06586262,-1.022499,-2.659879,1.628803
0,0.1666667,91,176,500,497,0.2198705,-0.639505,-0.1838316,-1.450292,-3.069973,-1.651082,0.01809945,0.1283236,-0.07178671,-1.024125,-2.658516,1.629563
0,0.1777778,91,176,500,497,0.2072223,-0.6837115,-0.2047368,-1.453351,-3.061017,-1.653176,0.01023749,0.1649561,-0.04921213,-1.025405,-2.655841,1.629224
0,0.1888889,91,176,500,497,0.2082664,-0.709094,-0.2135581,-1.456687,-3.052372,-1.655132,-0.008196145,0.1950413,-0.003038198,-1.026386,-2.652247,1.627686
0,0.2,91,176,500,497,0.209599,-0.7010939,-0.2109743,-1.45976,-3.044719,-1.656743,-0.03225163,0.2223583,0.04386947,-1.027051,-2.648175,1.625587
0,0.2111111,89,166,499,497,0.2110846,-0.6836793,-0.2064303,-1.462956,-3.037521,-1.658382,-0.03285021,0.2220352,0.05008737,-1.027923,-2.645298,1.624518
0,0.2222222,89,166,499,497,0.2110846,-0.6836793,-0.2064303,-1.462956,-3.037521,-1.658382,-0.03285021,0.2220352,0.05008737,-1.027923,-2.645298,1.624518
0,0.2333333,89,166,499,497,0.2099484,-0.629011,-0.1933715,-1.46569,-3.031941,-1.659703,-0.01354787,0.2221666,0.02679823,-1.029544,-2.64371,1.624952
0,0.2444444,89,166,499,497,0.2192166,-0.5495656,-0.1739671,-1.468849,-3.027926,-1.660837,0.01215161,0.2048724,-0.001384623,-1.031201,-2.642937,1.625719
0,0.2555556,89,166,499,497,0.2158788,-0.4046257,-0.1316128,-1.474132,-3.021948,-1.662527,0.03684292,0.1544862,-0.0269392,-1.033434,-2.641937,1.626801
0,0.2666667,81,176,499,497,0.2018504,-0.2741828,-0.09246211,-1.476099,-3.022004,-1.662651,0.0387088,0.1500677,-0.01861269,-1.034606,-2.640772,1.626701
0,0.2777778,81,176,499,497,0.1987863,-0.2150355,-0.07624973,-1.478352,-3.020911,-1.663095,0.04158132,0.1481809,0.0002906919,-1.035875,-2.639287,1.626009
0,0.2888889,81,176,499,497,0.1971824,-0.1343498,-0.05391459,-1.480463,-3.021636,-1.663213,0.04079187,0.1479503,0.01742169,-1.037078,-2.637715,1.625154
0,0.3,81,176,499,497,0.1971824,-0.1343498,-0.05391459,-1.480463,-3.021636,-1.663213,0.04079187,0.1479503,0.01742169,-1.037078,-2.637715,1.625154
0,0.3111111,80,190,499,504,0.1918316,-0.03569173,-0.02743981,-1.484466,-3.022881,-1.663538,0.02831405,0.1406712,0.04468962,-1.038894,-2.634262,1.623157
0,0.3222222,80,190,499,504,0.1918316,-0.03569173,-0.02743981,-1.484466,-3.022881,-1.663538,0.02831405,0.1406712,0.04468962,-1.038894,-2.634262,1.623157
0,0.3333333,80,190,499,504,0.1620051,0.02115261,-0.007274423,-1.487357,-3.02468,-1.663429,0.03378578,0.04610956,-0.01607194,-1.03924,-2.636279,1.624901
0,0.3444445,80,190,499,504,0.1402908,0.03612442,0.009413272,-1.488277,-3.025505,-1.662903,0.04806268,0.02603362,-0.04245789,-1.039975,-2.637576,1.626312
0,0.3555556,80,190,499,504,0.1141688,0.05937235,0.02756306,-1.488857,-3.026773,-1.662259,0.07423431,0.02302865,-0.04054973,-1.04142,-2.6385,1.626829
0,0.3666667,81,229,498,496,0.1010945,0.07380324,0.02464729,-1.489602,-3.028015,-1.662192,0.07546167,0.0388674,-0.01456564,-1.042693,-2.637589,1.625887
0,0.3777778,81,229,498,496,0.08912557,0.08610569,0.0213619,-1.490101,-3.029308,-1.662078,0.05401019,0.05063299,0.01743958,-1.043081,-2.636217,1.624622
0,0.3888889,81,229,498,496,0.0750622,0.09568948,0.02081923,-1.490528,-3.030691,-1.661999,0.02659592,0.05200242,0.03939823,-1.043298,-2.635319,1.623795
0,0.4,81,229,498,496,0.06354246,0.08480641,0.01985696,-1.490843,-3.031336,-1.661869,0.02065149,0.05742341,0.04961146,-1.043506,-2.634067,1.622575
0,0.4111111,80,248,497,497,0.03933292,0.0713485,0.01951709,-1.49068,-3.031781,-1.661682,0.02685178,0.0656679,0.05632768,-1.044339,-2.633038,1.621588
0,0.4222222,80,248,497,497,0.02877749,0.06713051,0.01763732,-1.490633,-3.032444,-1.661618,0.03306493,0.06599908,0.06194527,-1.04512,-2.632342,1.620739
0,0.4333333,80,248,497,497,0.01516817,0.05712488,0.01147657,-1.490486,-3.032737,-1.661686,0.03521404,0.04882835,0.05494032,-1.045527,-2.632236,1.620214
0,0.4444444,80,248,497,497,-0.0005145909,0.04536744,0.00284166,-1.490039,-3.03288,-1.661846,0.027978,0.03230933,0.03522492,-1.045543,-2.632584,1.620487
0,0.4555556,80,248,497,497,-0.008995174,0.04491542,-0.001576452,-1.489606,-3.033326,-1.662051,0.01223807,0.01514546,0.005640472,-1.04516,-2.63307,1.621347
0,0.4666667,89,205,497,498,-0.01645708,0.04563979,-0.0003694142,-1.489164,-3.033762,-1.662058,0.004266203,-0.001971195,0.008814663,-1.044755,-2.633332,1.621173
0,0.4777778,89,205,497,498,-0.02068188,0.04490254,-0.002659658,-1.488673,-3.034177,-1.662209,0.002016695,-0.004295867,0.01929344,-1.04465,-2.633134,1.620574
0,0.4888889,89,205,497,498,-0.02064816,0.04424032,-0.004928252,-1.488401,-3.034611,-1.662374,-0.01422297,-0.0024608,0.04296786,-1.0442,-2.632073,1.619141
0,0.5,89,205,497,498,-0.0227857,0.04525727,-0.00473229,-1.488038,-3.035077,-1.662455,-0.01505984,-0.003101364,0.04536009,-1.04409,-2.631769,1.618515
0,0.5111111,103,242,497,499,-0.02267916,0.04001949,-0.005682949,-1.487875,-3.035335,-1.662601,-0.01197363,-0.00792398,0.04473019,-1.043931,-2.631686,1.61796
0,0.5222223,103,242,497,499,-0.0258821,0.0410262,-0.005490517,-1.487413,-3.035796,-1.662707,-0.007097888,-0.0156525,0.03018205,-1.043794,-2.632092,1.618079
0,0.5333334,103,242,497,499,-0.02376151,0.04230479,-0.006317232,-1.487215,-3.036209,-1.662845,0.002883513,-0.02344885,0.01411399,-1.043796,-2.632794,1.618409
0,0.5444446,103,242,497,499,-0.02273391,0.04404323,-0.003812124,-1.486882,-3.036759,-1.662845,0.01202744,-0.0219673,0.009693259,-1.043981,-2.633066,1.61834
0,0.5555557,103,242,497,499,-0.02280227,0.04785099,-0.0009332013,-1.486637,-3.037341,-1.662842,0.01771497,-0.02294044,0.01242717,-1.044127,-2.633368,1.618099
0,0.5666668,110,173,497,499,-0.01758607,0.05402567,0.001316033,-1.48659,-3.038064,-1.662858,0.02243479,-0.01255682,0.01208193,-1.044541,-2.633313,1.617891
0,0.577778,110,173,497,499,-0.01553401,0.05988017,-0.000817854,-1.486339,-3.03883,-1.663002,0.02195559,6.13546E-05,0.01425397,-1.044888,-2.633118,1.61764
0,0.5888891,110,173,497,499,-0.007199228,0.07106954,-0.001956041,-1.486452,-3.039836,-1.663169,0.0181893,0.002027154,0.01865008,-1.045012,-2.6329,1.617255
0,0.6000003,110,173,497,499,-0.004067096,0.07368059,0.001798345,-1.486334,-3.040694,-1.663128,0.02028052,-0.005200563,0.02084677,-1.045121,-2.633185,1.616956
0,0.6111114,117,196,496,495,0.004360511,0.07820307,0.001578057,-1.48658,-3.041637,-1.663228,0.01843177,-0.02019362,0.01104229,-1.044942,-2.633931,1.617174
0,0.6222225,117,196,496,495,0.004360511,0.07820307,0.001578057,-1.48658,-3.041637,-1.663228,0.01843177,-0.02019362,0.01104229,-1.044942,-2.633931,1.617174
0,0.6333337,117,196,496,495,0.01394129,0.07809436,-0.002740777,-1.486945,-3.043278,-1.663421,0.01965553,-0.02029483,-0.01469281,-1.045023,-2.635139,1.618238
