ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
90,0,654,170,551,502,-1.839301,0.09848332,0.5233178,-1.442475,3.041343,-0.1963261,-1.154636,0.5028775,1.376878,-0.4160646,3.08165,2.493034
90,0.01111111,654,170,551,502,-1.75196,0.1189814,0.5190532,-1.445214,3.046461,-0.1798683,-1.090918,0.5581905,1.343294,-0.4016026,3.065052,2.518705
90,0.02222222,654,170,551,502,-1.709333,0.1232419,0.5063183,-1.447572,3.051437,-0.1626691,-1.063605,0.5517821,1.305729,-0.3890761,3.045346,2.547884
90,0.03333334,757,160,513,502,-1.633665,0.1350325,0.4850547,-1.450025,3.055687,-0.1470342,-1.064843,0.5070535,1.296118,-0.3777076,3.019585,2.583665
90,0.04444445,757,160,513,502,-1.594292,0.1711257,0.4592431,-1.453449,3.059673,-0.1309295,-1.096921,0.5273918,1.279417,-0.3651828,2.996114,2.618608
90,0.05555556,757,160,513,502,-1.609195,0.1794468,0.4399452,-1.456136,3.063755,-0.1128333,-1.069358,0.4836805,1.272719,-0.3546175,2.967132,2.656688
90,0.06666667,757,160,513,502,-1.573928,0.1779961,0.3867635,-1.458324,3.066363,-0.09653852,-0.9908707,0.3903812,1.197594,-0.3475984,2.939949,2.691523
90,0.07777778,968,176,453,496,-1.432218,0.1930135,0.356032,-1.461171,3.06925,-0.08472208,-0.9553977,0.4153502,1.175642,-0.3379663,2.912835,2.726161
90,0.08888889,968,176,453,496,-1.306572,0.2125487,0.3614767,-1.464528,3.073458,-0.07413868,-0.9143159,0.4078206,1.128384,-0.3295587,2.885751,2.760746
90,0.1,968,176,453,496,-1.2268,0.2564954,0.3676279,-1.468771,3.0774,-0.06289694,-0.8871658,0.3673601,1.080122,-0.3230345,2.858001,2.796062
90,0.1111111,968,176,453,496,-1.175758,0.2886597,0.3749179,-1.473185,3.081605,-0.05139155,-0.8341649,0.3938988,1.045539,-0.3147622,2.830825,2.829678
90,0.1222222,968,176,453,496,-1.103442,0.3263333,0.3949742,-1.478189,3.086333,-0.04161988,-0.7559976,0.409784,0.97447,-0.307226,2.807229,2.858555
90,0.1333333,898,172,489,499,-1.020313,0.3373635,0.3971886,-1.482667,3.090436,-0.03300136,-0.7291291,0.3661426,0.9016957,-0.3024009,2.783638,2.888576
90,0.1444445,898,172,489,499,-0.9371788,0.3384384,0.3749718,-1.486545,3.093935,-0.02511787,-0.6901224,0.2511547,0.7807703,-0.3015865,2.766073,2.911807
90,0.1555556,898,172,489,499,-0.8732166,0.336353,0.3559243,-1.490602,3.097124,-0.01717739,-0.6898427,0.1652488,0.7211374,-0.2983981,2.740888,2.944938
90,0.1666667,898,172,489,499,-0.7847592,0.3575934,0.3207624,-1.495321,3.099555,-0.01117196,-0.6426965,0.1311721,0.649303,-0.2965451,2.72283,2.968144
