loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0,-0.06923967,-0.1027571,-0.0582994,-1.364742,-2.631305,-1.460313,-0.05909782,-0.03857253,0.1173523,-0.5565048,-1.20734,0.1694537,-0.101618,0.03288625,-0.08569854,-0.9522932,1.722815,1.917487,0.07195225,1.102012,0.7246262,288.372,309.5691,38.94844
2,0.01111111,-0.05461691,-0.09899974,-0.06046907,-1.366035,-2.623947,-1.453858,-0.05092799,-0.02636853,0.11468,-0.5546288,-1.205649,0.1700013,-0.1025658,0.02750149,-0.0718637,-0.9525903,1.723129,1.918453,0.06890543,1.100074,0.7259887,288.3235,309.5007,38.64485
2,0.02222222,-0.0415014,-0.1028414,-0.0611636,-1.366547,-2.615251,-1.448117,-0.0497776,-0.01324752,0.1156996,-0.5529085,-1.204358,0.1719571,-0.1077735,0.0285313,-0.06008777,-0.9528497,1.723656,1.919662,0.06556699,1.098709,0.7278132,288.3582,309.5328,38.15395
2,0.03333334,-0.04549532,-0.1037345,-0.05848075,-1.367375,-2.606798,-1.442732,-0.05272141,-0.0171936,0.1147846,-0.5528195,-1.205875,0.1754256,-0.1056769,0.03067124,-0.06436109,-0.9534947,1.724509,1.920296,0.06242099,1.097081,0.7273194,288.3184,309.7266,37.6059
2,0.04444445,-0.0609874,-0.1125925,-0.04071484,-1.36831,-2.598963,-1.437357,-0.07392007,-0.02883437,0.1084372,-0.5528589,-1.206117,0.1779865,-0.09720641,0.04987407,-0.07821587,-0.9543986,1.726473,1.91999,0.0592195,1.096075,0.7288976,288.2694,310.1966,36.80357
2,0.05555556,-0.0614901,-0.1167427,-0.01350105,-1.369107,-2.591861,-1.431437,-0.09375976,-0.02657136,0.08997355,-0.5517473,-1.206371,0.1802347,-0.08215338,0.07215968,-0.07507318,-0.9545819,1.728492,1.91926,0.0565632,1.095849,0.7299051,288.2639,310.3652,36.3724
2,0.06666667,-0.0666632,-0.1147399,0.02877557,-1.371089,-2.586294,-1.425373,-0.1198859,-0.0291366,0.05670711,-0.5498874,-1.207187,0.1828707,-0.05215728,0.1018221,-0.07313777,-0.9549728,1.730983,1.917436,0.05360343,1.095241,0.7313648,288.2001,310.5758,35.98024
2,0.07777778,-0.08098844,-0.1182234,0.04503732,-1.372609,-2.580378,-1.419657,-0.1363825,-0.04055074,0.04816355,-0.5479683,-1.20735,0.1853464,-0.04155487,0.11673,-0.08492087,-0.9559582,1.733364,1.916328,0.05127069,1.09564,0.732357,288.1112,310.6464,35.85281
2,0.08888889,-0.08098844,-0.1182234,0.04503732,-1.372609,-2.580378,-1.419657,-0.1363825,-0.04055074,0.04816355,-0.5479683,-1.20735,0.1853464,-0.04155487,0.11673,-0.08492087,-0.9559582,1.733364,1.916328,0.05127069,1.09564,0.732357,288.1112,310.6464,35.85281
2,0.1,-0.07913063,-0.1177548,0.04729597,-1.374212,-2.575257,-1.414064,-0.136814,-0.03873086,0.04633139,-0.5478378,-1.207237,0.1863691,-0.04046256,0.1177806,-0.08279665,-0.9563103,1.73525,1.915653,0.04854864,1.095209,0.7317058,288.0317,310.9,35.46246
2,0.1111111,-0.0688592,-0.1138342,0.04327598,-1.376083,-2.571506,-1.408962,-0.1285227,-0.03032575,0.04620497,-0.5476194,-1.209004,0.1891068,-0.04253159,0.1113573,-0.07323418,-0.9566815,1.736783,1.915413,0.04623725,1.095934,0.7327732,287.8257,311.7642,34.53019
2,0.1222222,-0.06182291,-0.1211468,0.01240792,-1.378222,-2.568539,-1.404719,-0.1120886,-0.02456205,0.07406359,-0.5473797,-1.209489,0.1916837,-0.06925389,0.09230837,-0.07304542,-0.9572642,1.737659,1.916415,0.04424693,1.097127,0.7321248,287.4451,313.5764,32.51524
2,0.1333333,-0.06197552,-0.1329156,-0.005665008,-1.380105,-2.566572,-1.400942,-0.1087873,-0.02319054,0.09574518,-0.5477179,-1.21072,0.1955644,-0.08956964,0.08604567,-0.07818597,-0.9578783,1.739111,1.917019,0.04214431,1.098318,0.7330001,287.0421,315.7106,30.18206
