loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,emg,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,-0.2424891,-0.3711031,0.2261674,-1.212477,-1.154203,-0.8153262,-0.6245038,0.0395904,7.166124,-0.3269029,0.1417034,0.08506358,-0.4288206,-1.029523,1.224706,-0.1975613,0.1634981,-0.06852881,-0.969176,-3.102303,1.680762,-0.7418997,1.132557,0.06727242,302.2122,231.7147,9.375607
3,0.01111111,-0.250434,-0.3149634,0.1874451,-1.211867,-1.151833,-0.8131781,-0.6249219,-0.0384392,7.166124,-0.3300912,0.1353048,0.08718602,-0.4283215,-1.025652,1.224928,-0.1952902,0.160226,-0.05044911,-0.9690673,-3.100255,1.681674,-0.7415105,1.131116,0.0649619,304.3387,226.1147,13.7737
3,0.02222222,-0.2550516,-0.2747392,0.1552151,-1.211038,-1.149417,-0.8110667,-0.6258759,-0.08678368,6.731813,-0.3353692,0.1022415,0.1020165,-0.4268898,-1.023358,1.226802,-0.1877312,0.1537403,-0.0345571,-0.9688974,-3.098465,1.68264,-0.7405562,1.128576,0.06251812,305.8495,225.344,13.65536
3,0.03333334,-0.2759605,-0.1975033,0.1014483,-1.210595,-1.149194,-0.8076153,-0.6253496,0.04889397,6.731813,-0.3257119,0.05317059,0.1210072,-0.4247838,-1.023293,1.230054,-0.1771315,0.1451816,-0.03680576,-0.9691637,-3.096695,1.683356,-0.7393419,1.125654,0.0602382,307.0855,225.8492,12.18794
3,0.04444445,-0.2846228,-0.1816785,0.08856665,-1.209948,-1.147499,-0.8048115,-0.6253613,-0.001529317,6.731813,-0.3086339,0.02437541,0.1304398,-0.4229995,-1.023052,1.232808,-0.1750117,0.1462348,-0.03895166,-0.9695249,-3.094804,1.684141,-0.7392657,1.124289,0.0590045,307.899,224.4969,13.50538
3,0.05555556,-0.3042104,-0.1374637,0.03395887,-1.208878,-1.147842,-0.8007982,-0.6248963,0.0426564,6.731813,-0.2798724,-0.0256951,0.1301748,-0.4211794,-1.025526,1.237339,-0.1668417,0.1143412,-0.06577363,-0.9709976,-3.094151,1.68537,-0.7396003,1.124083,0.05859228,308.4533,224.376,13.5746
3,0.06666667,-0.3107748,-0.1207146,-0.002368037,-1.207556,-1.147851,-0.7971512,-0.6250865,-0.01767965,7.166124,-0.2564694,-0.06401922,0.1214424,-0.4195123,-1.028754,1.242513,-0.1616933,0.09838592,-0.07865494,-0.9720538,-3.093156,1.686581,-0.7397857,1.124354,0.05808363,308.5877,226.0997,11.62286
3,0.07777778,-0.3108953,-0.1091494,-0.02481898,-1.206299,-1.147603,-0.7938383,-0.6247531,0.03075402,7.166124,-0.2383534,-0.06613325,0.1171082,-0.418242,-1.029251,1.244843,-0.1585227,0.08984709,-0.07764848,-0.972784,-3.092103,1.687639,-0.7401394,1.125092,0.05738877,308.6892,226.4359,11.11417
3,0.08888889,-0.3003316,-0.101802,-0.05364297,-1.204661,-1.147959,-0.7906728,-0.6250955,-0.03147443,7.166124,-0.2223895,-0.0650551,0.1127922,-0.4169775,-1.029946,1.247487,-0.1478485,0.08125803,-0.07136398,-0.973078,-3.091185,1.688413,-0.7406822,1.126477,0.05662267,308.6917,226.156,11.19607
3,0.1,-0.2993474,-0.09447391,-0.07393494,-1.203076,-1.14831,-0.7872373,-0.6254913,-0.03581043,7.166124,-0.2074661,-0.07145463,0.1159092,-0.4154387,-1.031002,1.250434,-0.1404356,0.06843877,-0.07040533,-0.9737316,-3.09062,1.689451,-0.741433,1.128472,0.05585186,308.4467,225.7409,11.48215
3,0.1111111,-0.294131,-0.08393727,-0.09744943,-1.201389,-1.149157,-0.7838237,-0.6259552,-0.04208512,7.166124,-0.1924637,-0.085384,0.1403113,-0.4128917,-1.032348,1.253379,-0.127786,0.04282828,-0.07379599,-0.9746009,-3.090783,1.690647,-0.7423141,1.130913,0.05512381,307.9956,225.2788,11.89471
3,0.1222222,-0.2899793,-0.07230117,-0.1145767,-1.199834,-1.15014,-0.7803765,-0.6257598,0.01821139,5.754614,-0.179614,-0.1003607,0.1593855,-0.4102983,-1.034219,1.256825,-0.1193474,0.03535578,-0.08028243,-0.9755756,-3.090455,1.691582,-0.7432364,1.133583,0.05452018,307.4407,224.7619,12.39493
3,0.1333333,-0.2837579,-0.05646488,-0.1424387,-1.19739,-1.152168,-0.7766529,-0.6259505,-0.01761722,5.754614,-0.1593087,-0.1110881,0.1805861,-0.4072911,-1.035778,1.259736,-0.1088138,0.02149224,-0.08788035,-0.9768028,-3.090441,1.692512,-0.7441523,1.136262,0.05407686,306.894,224.2646,12.91637
3,0.1444445,-0.2774138,-0.05112056,-0.1488867,-1.195759,-1.153484,-0.7733207,-0.6260031,-0.00463382,5.754614,-0.1444418,-0.1206349,0.1677171,-0.4053688,-1.038436,1.263382,-0.1025436,0.01404732,-0.09967359,-0.9781625,-3.090385,1.693342,-0.7450029,1.13879,0.05384589,306.4207,223.8078,13.40276
3,0.1555556,-0.2594238,-0.03830557,-0.1649705,-1.1941,-1.155101,-0.7703508,-0.6261097,-0.009728281,5.754614,-0.1232339,-0.1450629,0.1420018,-0.4037171,-1.043364,1.268806,-0.08782379,-0.00300125,-0.1147766,-0.9798952,-3.090677,1.694087,-0.7458378,1.140975,0.05375713,305.959,223.4771,14.00922
3,0.1666667,-0.2361039,-0.02426109,-0.1661895,-1.192618,-1.157095,-0.7675502,-0.6262423,-0.01201832,3.583062,-0.08932757,-0.1512932,0.09178832,-0.4034678,-1.048074,1.273209,-0.0848303,-0.02213565,-0.1297868,-0.98177,-3.091304,1.695311,-0.7465431,1.142611,0.05361439,305.5816,223.2048,14.72137
3,0.1777778,-0.218051,-0.01665025,-0.1641291,-1.191351,-1.158423,-0.7651166,-0.6266908,-0.04093168,3.583062,-0.07240859,-0.169296,0.05864613,-0.4029299,-1.053801,1.278945,-0.08381876,-0.02745567,-0.1340808,-0.9834425,-3.091636,1.696386,-0.7470127,1.143802,0.05351348,305.4782,222.9827,14.98378
3,0.1888889,-0.1925842,-0.003663883,-0.165316,-1.190247,-1.160291,-0.7629898,-0.6269699,-0.02524259,3.583062,-0.04158649,-0.1916062,0.03928538,-0.4023024,-1.060738,1.284909,-0.0752508,-0.04245152,-0.1214239,-0.9845616,-3.092542,1.697496,-0.7472765,1.144664,0.0535491,305.5155,222.8509,14.99891
3,0.2,-0.1777574,0.007081315,-0.1685997,-1.189084,-1.162062,-0.7607756,-0.6270072,-0.003278984,3.583062,-0.03517218,-0.1862939,0.04460671,-0.4010332,-1.064639,1.288779,-0.06976581,-0.04681064,-0.1001711,-0.9850058,-3.09316,1.698465,-0.7474265,1.145321,0.05374305,305.6286,222.8372,14.96383
3,0.2111111,-0.1608417,0.02322504,-0.1676905,-1.188237,-1.164598,-0.7584757,-0.6273811,-0.03427756,3.583062,-0.02866347,-0.1800067,0.07656273,-0.398901,-1.067871,1.291889,-0.05771507,-0.03526638,-0.06613815,-0.9847331,-3.093261,1.698786,-0.7475475,1.145878,0.05404894,305.7634,222.8755,14.97483
3,0.2222222,-0.1567104,0.03924616,-0.1688856,-1.187504,-1.167094,-0.7558317,-0.6271505,0.02125277,4.234528,-0.03496316,-0.1747657,0.1032343,-0.3966081,-1.070903,1.295391,-0.04265666,-0.03325809,-0.05134126,-0.9849552,-3.093746,1.698998,-0.7476375,1.146416,0.05445131,305.8531,222.9179,15.0304
3,0.2333333,-0.1694668,0.03371681,-0.1837502,-1.185965,-1.169139,-0.7528266,-0.6271681,-0.001960199,4.234528,-0.04336394,-0.156763,0.1363484,-0.3938453,-1.072265,1.297396,-0.04056505,-0.03964758,-0.05350907,-0.9856913,-3.09434,1.699672,-0.7477592,1.14701,0.05490833,305.9425,222.9908,15.07051
3,0.2444444,-0.1864422,0.02057546,-0.2177477,-1.18356,-1.171854,-0.749332,-0.6266881,0.04382595,4.234528,-0.04867827,-0.1312081,0.1396473,-0.392127,-1.073136,1.298926,-0.02902409,-0.05455778,-0.06751026,-0.9869116,-3.095364,1.700249,-0.7479241,1.147757,0.05541328,306.0164,223.0934,15.08431
3,0.2555556,-0.2108582,0.00101224,-0.2506059,-1.181136,-1.174578,-0.74472,-0.6260261,0.06009989,4.234528,-0.06044055,-0.1439492,0.1279286,-0.3906474,-1.077339,1.30379,-0.01538003,-0.06733236,-0.08472263,-0.9884626,-3.096385,1.700783,-0.7482232,1.148707,0.05592336,306.0591,223.1606,15.14559
3,0.2666667,-0.2385547,-0.001473144,-0.271878,-1.178712,-1.177481,-0.74037,-0.6257076,0.02863682,5.103148,-0.04349475,-0.1704955,0.1011473,-0.3895789,-1.08358,1.309607,-0.004674293,-0.06526479,-0.07947773,-0.9892961,-3.097066,1.700926,-0.7487078,1.149891,0.05639055,306.0685,223.0959,15.35825
3,0.2777778,-0.2578,0.002588946,-0.2814655,-1.176879,-1.180434,-0.7354223,-0.6246327,0.09813955,5.103148,-0.04458855,-0.2034861,0.09038272,-0.3881552,-1.091411,1.317159,-0.005758874,-0.06845781,-0.07948001,-0.9902261,-3.097925,1.701633,-0.7493607,1.151348,0.05683565,306.0205,222.8687,15.6956
3,0.2888889,-0.3026468,0.01496311,-0.2900304,-1.175022,-1.183663,-0.7297258,-0.6249736,-0.03190237,5.103148,-0.09246801,-0.2589343,0.1074213,-0.3855778,-1.1018,1.329072,-0.005802833,-0.07484159,-0.08163401,-0.9913201,-3.098977,1.702271,-0.7501819,1.153118,0.05730213,305.9214,222.6274,16.02219
3,0.3,-0.3346225,0.0157018,-0.2995948,-1.172696,-1.186665,-0.7239622,-0.6246034,0.03431277,5.103148,-0.1073254,-0.2664353,0.1212945,-0.3831868,-1.108616,1.336927,-0.008975446,-0.07483625,-0.07840985,-0.9921767,-3.099762,1.702947,-0.7511926,1.155217,0.05776436,305.7662,222.4084,16.38723
3,0.3111111,-0.3910731,0.003389157,-0.3260786,-1.170049,-1.190267,-0.7158225,-0.6240963,0.04619419,5.103148,-0.1495988,-0.2656702,0.2141332,-0.3776341,-1.113223,1.344077,-0.007847339,-0.0802053,-0.06778604,-0.9927178,-3.10085,1.703647,-0.7523153,1.15764,0.05821202,305.5578,222.2378,16.76319
3,0.3222222,-0.4623408,-0.01333579,-0.3525377,-1.16646,-1.193767,-0.7075002,-0.624115,-0.001941637,4.885993,-0.1823355,-0.2691066,0.2898708,-0.3721043,-1.117847,1.350942,-0.01005207,-0.08977097,-0.07205719,-0.9937032,-3.102243,1.704561,-0.7535976,1.160392,0.05855004,305.3694,222.0945,17.1674
3,0.3333333,-0.5185646,-0.04585454,-0.3682428,-1.162431,-1.196429,-0.6991724,-0.6222801,0.1680484,4.885993,-0.2024487,-0.2851997,0.3250467,-0.3668659,-1.124909,1.360328,-0.0102742,-0.1067483,-0.09022881,-0.9954166,-3.103964,1.705617,-0.7550099,1.16347,0.05873382,305.1543,221.7804,17.69876
3,0.3444445,-0.5609826,-0.07074219,-0.3744289,-1.158472,-1.19902,-0.6910216,-0.622263,0.0003916994,4.885993,-0.2310755,-0.3012995,0.359193,-0.3613622,-1.132943,1.370972,-0.01378322,-0.1247324,-0.119028,-0.9976995,-3.105724,1.706794,-0.7565041,1.166916,0.05880024,304.9141,221.3537,18.25712
3,0.3555556,-0.6087443,-0.09129069,-0.3635903,-1.154912,-1.201156,-0.6822821,-0.6224175,-0.0136667,4.885993,-0.2385093,-0.3236964,0.3666034,-0.3565355,-1.142334,1.38254,-0.01494393,-0.1332228,-0.1265081,-0.9995205,-3.107466,1.707915,-0.7581663,1.170768,0.0587091,304.6765,220.8153,18.91721
