loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,-0.0148854,-0.2632957,0.2557909,-1.265633,-5.417038,-2.755342,-1.178745,-0.009245161,-0.3475013,0.1989996,-0.04271238,-0.5501537,-4.697448,-0.4977698,-0.1491904,0.3558369,0.02589552,-0.8686613,-0.5947897,-0.04615977,-0.6784989,1.152337,-0.289159,297.2491,197.1086,13.14211
3,0.01111111,-0.01913939,-0.2419094,0.2727443,-1.268292,-5.413717,-2.755999,-1.178566,0.01644454,-0.3602465,0.2192889,-0.04684916,-0.5520211,-4.692648,-0.4974023,-0.1460363,0.3558561,0.0205441,-0.8687881,-0.5896475,-0.04797871,-0.6784258,1.151773,-0.2909461,297.3688,196.4389,13.64491
3,0.02222222,-0.02979332,-0.2344549,0.275928,-1.27025,-5.410173,-2.75639,-1.17845,0.01040475,-0.3708663,0.2278457,-0.04462693,-0.5536009,-4.688244,-0.4965735,-0.1439472,0.3516155,0.01518249,-0.8690198,-0.5847408,-0.04959711,-0.6780817,1.150966,-0.292877,297.4873,196.3084,13.47816
3,0.03333334,-0.03618076,-0.2323042,0.2812506,-1.272264,-5.406596,-2.756767,-1.178268,0.01656695,-0.3653635,0.2384632,-0.02440405,-0.5546576,-4.682656,-0.4975472,-0.1375728,0.3335243,0.01081603,-0.8692137,-0.5808135,-0.05085625,-0.6775476,1.149994,-0.2949291,297.5888,196.4815,12.93486
3,0.04444445,-0.04468377,-0.2386838,0.286625,-1.274207,-5.402507,-2.757171,-1.177929,0.03082746,-0.3536651,0.2245751,-0.02023801,-0.5556883,-4.679337,-0.4969637,-0.1302823,0.3154972,-0.01274089,-0.8703573,-0.5771137,-0.05205495,-0.6768762,1.148944,-0.2970111,297.7006,196.6251,12.37197
3,0.05555556,-0.04362499,-0.238675,0.285556,-1.276132,-5.398935,-2.757724,-1.177911,0.001460448,-0.3336089,0.1904205,-0.02893331,-0.5565751,-4.678606,-0.4946236,-0.1249958,0.3048729,-0.01921535,-0.8710204,-0.5730856,-0.05342754,-0.6761426,1.147917,-0.2990658,297.8443,196.6566,11.91098
3,0.06666667,-0.04576112,-0.232256,0.2929799,-1.278406,-5.395253,-2.758068,-1.177844,0.006255453,-0.3072626,0.145609,-0.04620013,-0.557545,-4.679379,-0.4913604,-0.1175693,0.2921123,-0.0246389,-0.8716303,-0.5694669,-0.05472849,-0.6753618,1.147017,-0.3010082,297.9749,196.678,11.50716
3,0.07777778,-0.05216192,-0.2151968,0.2982365,-1.280969,-5.392115,-2.758229,-1.178184,-0.03113478,-0.2893781,0.1072214,-0.05914301,-0.5585043,-4.680135,-0.488048,-0.1122924,0.2719071,-0.03326919,-0.8724217,-0.5663227,-0.0556345,-0.6745962,1.14629,-0.3028942,298.0602,196.6997,11.17441
3,0.08888889,-0.06283692,-0.199201,0.3013737,-1.283615,-5.389391,-2.757869,-1.178018,0.0154078,-0.2787656,0.0880031,-0.05497576,-0.5590886,-4.679968,-0.4854319,-0.110157,0.2569982,-0.03439636,-0.8729756,-0.5632845,-0.05643025,-0.6739039,1.145728,-0.3047449,298.056,196.6789,10.90679
3,0.1,-0.06822738,-0.1726219,0.2927309,-1.285991,-5.387174,-2.757508,-1.178005,0.001100705,-0.2765289,0.09331173,-0.04113831,-0.5597677,-4.677671,-0.4842242,-0.1102078,0.2293291,-0.04300227,-0.8738018,-0.561149,-0.05642839,-0.6732969,1.145319,-0.3065382,297.9989,196.7085,10.60808
3,0.1111111,-0.08319699,-0.1620551,0.2799286,-1.287949,-5.384665,-2.756633,-1.177655,0.03204683,-0.2646677,0.1156211,-0.03266822,-0.5607238,-4.674509,-0.4843779,-0.113484,0.2165781,-0.0547337,-0.8749261,-0.5586563,-0.05663638,-0.6727535,1.145068,-0.3082316,297.9284,196.8008,10.2826
3,0.1222222,-0.09176928,-0.1546764,0.2671238,-1.289709,-5.382184,-2.755897,-1.177824,-0.01579304,-0.2453461,0.1357884,-0.02211865,-0.5617187,-4.670623,-0.4855955,-0.1102801,0.2155149,-0.05263394,-0.8755835,-0.5553274,-0.05752029,-0.672298,1.144975,-0.3098321,297.8571,196.9076,9.974406
3,0.1333333,-0.110999,-0.1516128,0.2469131,-1.291016,-5.379848,-2.754586,-1.177335,0.04505299,-0.2270234,0.1410166,0.006527462,-0.561609,-4.666728,-0.4870285,-0.1070414,0.2048522,-0.04843005,-0.8760729,-0.5528922,-0.05801643,-0.6719564,1.145027,-0.3113631,297.7653,196.9665,9.760235
3,0.1444445,-0.1291522,-0.1528143,0.2267107,-1.291961,-5.37735,-2.753284,-1.177524,-0.01765619,-0.2152008,0.1175184,0.03412853,-0.5606721,-4.66451,-0.4868834,-0.09527738,0.1771578,-0.04541101,-0.8764932,-0.5515773,-0.05815651,-0.6717154,1.145199,-0.3128651,297.6631,196.9732,9.64112
