ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
0,0,86,213,497,497,0.2310464,-0.4281177,-0.1483565,-1.397527,-3.127934,-1.634925,0.0521924,0.1093914,0.002980158,-1.021047,-2.654435,1.605974
0,0.01111111,86,213,497,497,0.2304866,-0.4196051,-0.1423597,-1.400769,-3.123624,-1.636103,0.06719143,0.1002589,0.002398647,-1.022404,-2.654289,1.605962
0,0.02222222,86,213,497,497,0.2310312,-0.3984791,-0.1388783,-1.403829,-3.119971,-1.637357,0.06660946,0.09936353,0.007116225,-1.023577,-2.653595,1.605672
0,0.03333334,83,230,498,488,0.2369882,-0.3867055,-0.1307895,-1.407246,-3.116118,-1.638358,0.04820806,0.09059229,0.00879851,-1.023989,-2.652731,1.605412
0,0.04444445,83,230,498,488,0.2418427,-0.3729764,-0.1212878,-1.410469,-3.112462,-1.63933,0.04066105,0.08849063,0.0003431998,-1.024685,-2.652029,1.605565
0,0.05555556,83,230,498,488,0.243023,-0.3630887,-0.112772,-1.413721,-3.108967,-1.640135,0.04952413,0.09064169,0.001021989,-1.026032,-2.651613,1.605538
0,0.06666667,83,230,498,488,0.2531536,-0.348148,-0.1050591,-1.417217,-3.105662,-1.640951,0.04511697,0.08973402,0.004434876,-1.02692,-2.650783,1.605368
0,0.07777778,81,177,499,498,0.2509165,-0.3387724,-0.1023449,-1.420421,-3.102398,-1.641775,0.04100762,0.09422421,0.006637491,-1.027758,-2.649919,1.605241
0,0.08888889,81,177,499,498,0.2517633,-0.3304215,-0.1009466,-1.423642,-3.098999,-1.642662,0.04455178,0.0849277,0.008481316,-1.028615,-2.64957,1.604992
0,0.1,81,177,499,498,0.25095,-0.3308063,-0.1038056,-1.426884,-3.09551,-1.643643,0.03913473,0.07368436,0.004816897,-1.029146,-2.649239,1.605038
0,0.1111111,81,177,499,498,0.2385825,-0.3277607,-0.1140214,-1.429569,-3.091925,-1.645011,0.04964562,0.07106617,-0.009518826,-1.030268,-2.649237,1.605526
0,0.1222222,81,177,499,498,0.2263889,-0.3209888,-0.1123759,-1.43239,-3.088572,-1.646202,0.05265922,0.07822171,-0.01318493,-1.031377,-2.648762,1.605743
0,0.1333333,77,202,498,497,0.2107272,-0.3123696,-0.1048797,-1.434715,-3.085438,-1.646939,0.04944076,0.08330043,-0.01101359,-1.032215,-2.648144,1.605811
0,0.1444445,77,202,498,497,0.2017844,-0.2939972,-0.08954784,-1.437055,-3.082796,-1.647268,0.03814923,0.08920167,-0.004724892,-1.032869,-2.647119,1.605546
0,0.1555556,77,202,498,497,0.1946837,-0.2813517,-0.08322321,-1.439359,-3.080147,-1.64783,0.02579418,0.08883144,0.001341959,-1.033211,-2.646216,1.605408
0,0.1666667,77,202,498,497,0.1849748,-0.2541801,-0.07821867,-1.44151,-3.078018,-1.648398,0.01781511,0.08765672,0.0106086,-1.033683,-2.645134,1.60487
0,0.1777778,76,183,498,495,0.1719281,-0.2229179,-0.06702781,-1.443252,-3.07654,-1.648709,0.006829549,0.07923505,0.0149192,-1.03387,-2.644283,1.604478
0,0.1888889,76,183,498,495,0.1679718,-0.2031803,-0.06479739,-1.445217,-3.074853,-1.64922,0.01377686,0.07023163,0.002400888,-1.034413,-2.644145,1.604771
0,0.2,76,183,498,495,0.1573817,-0.1841562,-0.058521,-1.446821,-3.073483,-1.649559,0.017997,0.0695041,-0.007821885,-1.035131,-2.643911,1.605173
0,0.2111111,76,183,498,495,0.1399571,-0.1721109,-0.0494871,-1.448125,-3.071753,-1.649714,0.0283923,0.06496814,-0.02169582,-1.035907,-2.643926,1.605747
0,0.2222222,76,183,498,495,0.1314757,-0.1510817,-0.04830509,-1.449614,-3.070619,-1.650173,0.03170225,0.06577752,-0.01988718,-1.036669,-2.643579,1.605927
0,0.2333333,83,159,498,501,0.1152898,-0.1317948,-0.04329963,-1.450598,-3.069738,-1.650452,0.02824678,0.06741659,-0.008285914,-1.037232,-2.642814,1.605497
0,0.2444444,83,159,498,501,0.1067053,-0.1079582,-0.04055215,-1.45167,-3.06908,-1.65088,0.02149733,0.07028601,0.004894674,-1.037621,-2.641868,1.6049
0,0.2555556,83,159,498,501,0.09894618,-0.0896087,-0.03786619,-1.452795,-3.068577,-1.651263,0.01538504,0.06415641,0.014873,-1.037907,-2.641155,1.604389
0,0.2666667,83,159,498,501,0.08498746,-0.06152509,-0.03435171,-1.453347,-3.068556,-1.651522,0.009440321,0.06161442,0.01304246,-1.038153,-2.640483,1.604213
0,0.2777778,91,183,498,498,0.0709558,-0.03390344,-0.02877523,-1.453739,-3.068841,-1.651726,0.02016088,0.05857899,0.005922664,-1.03889,-2.640354,1.604419
0,0.2888889,91,183,498,498,0.05478615,-0.005412936,-0.02196387,-1.454018,-3.069335,-1.651912,0.03466622,0.05153604,0.001923855,-1.03967,-2.640458,1.604506
0,0.3,91,183,498,498,0.0500881,0.01601228,-0.01431937,-1.454349,-3.070143,-1.651918,0.0380525,0.05019473,0.0027283,-1.040383,-2.640246,1.604448
0,0.3111111,91,183,498,498,0.04135766,0.04445234,-0.008528404,-1.454494,-3.071373,-1.651673,0.03013673,0.04690344,0.01331801,-1.040718,-2.639679,1.60401
0,0.3222222,91,183,498,498,0.03044227,0.07105727,0.00119638,-1.454371,-3.072885,-1.651446,0.0255468,0.04837222,0.02637378,-1.041122,-2.638889,1.603246
0,0.3333333,107,195,495,498,0.02027164,0.0865967,0.006474703,-1.45422,-3.074226,-1.651372,0.02149398,0.04099691,0.04247294,-1.041437,-2.638197,1.602109
0,0.3444445,107,195,495,498,0.01306171,0.0941281,0.007974288,-1.453977,-3.075446,-1.651347,0.01318767,0.03025857,0.050935,-1.041398,-2.637549,1.601152
0,0.3555556,107,195,495,498,0.007612949,0.0899079,0.008141137,-1.453837,-3.076302,-1.651329,-0.004999824,0.01706265,0.0428705,-1.040844,-2.637342,1.600917
0,0.3666667,107,195,495,498,-0.004350812,0.08089739,0.006188457,-1.453341,-3.076864,-1.651283,-0.005875673,0.01433778,0.03087996,-1.040819,-2.637167,1.600843
0,0.3777778,107,195,495,498,-0.02227055,0.05287845,0.002387187,-1.45276,-3.076605,-1.651415,0.0001408597,0.01459328,0.01211691,-1.041015,-2.637349,1.601265
0,0.3888889,124,211,495,495,-0.03019531,0.03771935,-0.001920064,-1.452254,-3.07654,-1.65148,0.008778676,0.02083799,0.006371166,-1.041539,-2.637105,1.601272
0,0.4,124,211,495,495,-0.04255047,0.01772673,-0.008399742,-1.451534,-3.076006,-1.651738,0.01922498,0.02427277,0.01097482,-1.042159,-2.636898,1.600995
0,0.4111111,124,211,495,495,-0.04923537,0.00821009,-0.01372827,-1.450954,-3.075779,-1.651838,0.01754234,0.01904562,0.02610954,-1.042259,-2.636449,1.600142
