ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
90,0,651,182,490,506,-2.309367,-0.06190285,0.3140959,-1.38134,3.001825,-0.2206157,-1.363121,0.4414843,1.594192,-0.4346194,3.114364,2.369957
90,0.01111111,651,182,490,506,-2.214705,0.01603737,0.3083565,-1.383999,3.004728,-0.198806,-1.409586,0.4650753,1.62982,-0.4172481,3.090299,2.409035
90,0.02222222,651,182,490,506,-2.259627,0.07678655,0.323716,-1.387192,3.008175,-0.1732386,-1.412394,0.5376008,1.653249,-0.3987604,3.068038,2.445274
90,0.03333334,651,182,490,506,-2.261805,0.08962789,0.3310592,-1.389185,3.011837,-0.1487418,-1.374235,0.5556624,1.634707,-0.3824715,3.043828,2.481899
90,0.04444445,651,182,490,506,-2.133932,0.1334242,0.2926477,-1.39211,3.013551,-0.1291409,-1.31585,0.5108175,1.62556,-0.3684643,3.011736,2.524759
90,0.05555556,588,188,475,498,-2.078601,0.1889035,0.2743371,-1.396256,3.015694,-0.1077877,-1.306123,0.5502046,1.635023,-0.3522132,2.980195,2.568704
90,0.06666667,588,188,475,498,-1.915883,0.3022605,0.2822593,-1.403013,3.01825,-0.09128038,-1.262953,0.5704128,1.582363,-0.3378934,2.950519,2.6096
90,0.07777778,588,188,475,498,-1.815882,0.3441517,0.3002898,-1.407929,3.021878,-0.07404014,-1.228871,0.5576227,1.478648,-0.3262309,2.923539,2.647759
90,0.08888889,588,188,475,498,-1.640212,0.374514,0.3164041,-1.413242,3.025482,-0.06102207,-1.147538,0.505286,1.42451,-0.3156735,2.888808,2.691664
90,0.1,723,213,516,495,-1.518704,0.360788,0.3008162,-1.416797,3.028192,-0.04744262,-1.076252,0.4284329,1.327886,-0.3079669,2.855558,2.733406
90,0.1111111,723,213,516,495,-1.401608,0.3688118,0.3351184,-1.421307,3.032734,-0.03591859,-1.02319,0.2559257,1.142908,-0.3066859,2.830635,2.767274
90,0.1222222,723,213,516,495,-1.33569,0.4011652,0.3713353,-1.426918,3.038213,-0.02342996,-0.9717615,0.1705992,0.9783167,-0.3046752,2.809291,2.797153
90,0.1333333,723,213,516,495,-1.240878,0.416149,0.3532888,-1.431955,3.041507,-0.01246146,-0.8785262,0.1086149,0.840934,-0.3028238,2.789859,2.823301
90,0.1444445,723,213,516,495,-1.102298,0.4098018,0.3206173,-1.436324,3.044143,-0.004133226,-0.8261375,0.06272256,0.7636992,-0.3011588,2.768228,2.851818
90,0.1555556,820,206,464,498,-0.9999653,0.3908256,0.3125096,-1.44041,3.047581,0.004196077,-0.7761903,-0.03003347,0.6693649,-0.3026885,2.750893,2.875649
90,0.1666667,820,206,464,498,-0.8656873,0.3519023,0.3333752,-1.443277,3.051931,0.009529856,-0.7251372,-0.03334719,0.6645802,-0.3010709,2.726487,2.906004
90,0.1777778,820,206,464,498,-0.7453011,0.3553431,0.329349,-1.447388,3.055589,0.01431609,-0.6472358,0.01333022,0.6659576,-0.2980897,2.702914,2.933699
90,0.1888889,820,206,464,498,-0.6451739,0.3968117,0.292988,-1.452971,3.057942,0.01864106,-0.5883026,0.04940879,0.5801606,-0.2959347,2.68991,2.951119
90,0.2,790,187,543,499,-0.5502783,0.4116785,0.2536103,-1.458347,3.059489,0.02228693,-0.5826312,0.04302382,0.5087242,-0.2949563,2.677405,2.969404
90,0.2111111,790,187,543,499,-0.4831115,0.415829,0.223896,-1.463026,3.061383,0.02577887,-0.5391664,0.01618868,0.4111817,-0.2962628,2.668623,2.984519
90,0.2222222,790,187,543,499,-0.3753774,0.4166452,0.1633742,-1.46793,3.061575,0.02738422,-0.5001882,0.004391491,0.3681905,-0.2961355,2.658791,2.998359
90,0.2333333,790,187,543,499,-0.3316356,0.4006487,0.1476064,-1.472122,3.062919,0.03042235,-0.4547833,0.03085959,0.326223,-0.2950415,2.648429,3.012682
90,0.2444444,790,187,543,499,-0.2729456,0.3719085,0.1352204,-1.475664,3.064456,0.03178376,-0.3955286,0.05949983,0.2766638,-0.2933349,2.643126,3.020491
90,0.2555556,829,164,505,500,-0.2312835,0.3441986,0.119528,-1.479028,3.06504,0.03322986,-0.3281756,0.02641335,0.2004083,-0.2932897,2.641237,3.024761
90,0.2666667,829,164,505,500,-0.1555375,0.3111524,0.09974522,-1.48158,3.065775,0.03279896,-0.2640205,-0.03125337,0.1252153,-0.2951778,2.641417,3.025741
90,0.2777778,829,164,505,500,-0.08622614,0.2983922,0.08614039,-1.484579,3.0663,0.03176778,-0.2237915,-0.02920648,0.09819685,-0.2954527,2.640185,3.028363
90,0.2888889,829,164,505,500,-0.04895976,0.3122815,0.08184235,-1.48849,3.067297,0.03130279,-0.1897221,-0.01117191,0.09148172,-0.2948689,2.637215,3.032481
90,0.3,958,198,459,494,-0.03936508,0.3154249,0.07436752,-1.491907,3.067926,0.03158243,-0.1306747,-0.01766492,0.02698781,-0.2951773,2.642167,3.027396
90,0.3111111,958,198,459,494,-0.03720158,0.3047303,0.06913861,-1.494985,3.068657,0.0318823,-0.1191922,-0.01768623,-0.0007984266,-0.2954181,2.643295,3.027037
90,0.3222222,958,198,459,494,-0.009337097,0.2418357,0.05589948,-1.496434,3.068975,0.03131451,-0.09816262,-0.05181734,-0.02125683,-0.296952,2.64527,3.025704
