loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,-0.6978024,-0.4002456,-0.08275208,-1.206592,-0.3211692,-1.511941,-0.5740844,0.0974502,-0.05339496,-0.4001788,-0.7219548,1.528032,-0.218444,0.2767438,-0.2756986,-0.7896416,-2.322853,1.43151,-0.6816117,1.100721,-0.2976351,289.8691,227.6521,346.7924
3,0.01111111,-0.6489174,-0.3456405,-0.05105621,-1.20707,-0.3188305,-1.507302,-0.5341928,0.06932038,0.006809331,-0.3982283,-0.7227942,1.533464,-0.2192148,0.2539067,-0.2885228,-0.7935756,-2.320729,1.432505,-0.6822245,1.09831,-0.2996254,290.0835,226.7566,347.384
3,0.02222222,-0.6191804,-0.3061131,-0.04165404,-1.206377,-0.3165843,-1.502162,-0.5075492,0.03289735,0.02558029,-0.3972637,-0.7249103,1.54019,-0.2193964,0.22787,-0.2801721,-0.7966772,-2.319335,1.434293,-0.6825923,1.096744,-0.3009571,290.1129,225.8653,348.1427
3,0.03333334,-0.5169215,-0.3015617,-0.03211473,-1.206106,-0.3131712,-1.500994,-0.4503829,-0.04727906,0.02896827,-0.3968723,-0.732626,1.550611,-0.2152661,0.203742,-0.2705522,-0.7991987,-2.317911,1.43583,-0.6828861,1.095124,-0.3024548,290.1702,225.3384,348.6508
3,0.04444445,-0.4444139,-0.32161,-0.0256995,-1.205259,-0.3082774,-1.500374,-0.4271795,-0.06649479,0.01481953,-0.3972003,-0.7349856,1.556858,-0.2133156,0.1985278,-0.2750357,-0.8027417,-2.315663,1.436989,-0.6829924,1.094492,-0.3031321,290.1665,225.098,349.138
3,0.05555556,-0.3421456,-0.3213584,-0.02465148,-1.204839,-0.3044371,-1.501509,-0.3858376,-0.06875604,-0.00477872,-0.3978907,-0.7371966,1.561774,-0.2079424,0.1956152,-0.2857463,-0.8065079,-2.313505,1.437599,-0.6831369,1.093858,-0.3035621,290.2542,225.0018,349.3253
3,0.06666667,-0.2868402,-0.2860518,-0.01949046,-1.204636,-0.3024493,-1.5006,-0.3560395,-0.06353387,-0.01144607,-0.3982086,-0.7376764,1.565097,-0.2062449,0.1849532,-0.2883732,-0.8101043,-2.312277,1.43926,-0.6834624,1.092613,-0.3045118,290.4122,224.6857,349.5556
3,0.07777778,-0.2305846,-0.198392,0.01846288,-1.206278,-0.3033607,-1.499775,-0.3025496,-0.05000898,0.004051842,-0.397643,-0.7379034,1.566793,-0.2044548,0.1499043,-0.294272,-0.8137225,-2.312657,1.442038,-0.6835052,1.091992,-0.3049796,290.6242,224.8104,349.2865
3,0.08888889,-0.2021369,-0.06719957,0.04554715,-1.207732,-0.3066944,-1.497024,-0.2616518,-0.04076394,0.04096948,-0.3958443,-0.738175,1.568739,-0.2030184,0.1298747,-0.3005522,-0.8177183,-2.312145,1.443289,-0.6834118,1.091632,-0.3056406,290.7933,225.5426,348.4345
3,0.1,-0.1566035,0.04910542,0.06313621,-1.209344,-0.3112847,-1.495261,-0.2390264,-0.04524148,0.06842555,-0.3940999,-0.7398714,1.57224,-0.2056751,0.1125043,-0.315293,-0.8219357,-2.312457,1.44617,-0.6831645,1.091551,-0.3059552,290.8768,226.8004,347.1984
3,0.1111111,-0.08963449,0.1100283,0.07030778,-1.210431,-0.3146424,-1.495388,-0.217533,-0.03793475,0.08315636,-0.3927912,-0.7399838,1.574115,-0.2097155,0.09341498,-0.3151878,-0.825295,-2.312959,1.44938,-0.6830661,1.091836,-0.3059869,290.9079,228.0645,346.053
3,0.1222222,-0.03851006,0.1155032,0.07878864,-1.211539,-0.3156357,-1.496428,-0.1928414,-0.02532139,0.09574237,-0.3912967,-0.7395976,1.57504,-0.2030255,0.07785081,-0.3094268,-0.8287395,-2.313795,1.452373,-0.682942,1.092004,-0.3060929,290.9709,228.8782,345.3231
3,0.1333333,-0.01089269,0.1486841,0.09887162,-1.213372,-0.3182504,-1.496392,-0.1361264,-0.003269732,0.110177,-0.389735,-0.7371331,1.57247,-0.1941943,0.06221161,-0.3025428,-0.8318261,-2.314048,1.454393,-0.682964,1.092619,-0.3058634,290.9341,229.1045,345.1888
