loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0,-0.1215926,-0.5026866,0.06507654,-1.316708,-0.7784446,-1.448599,-1.322369,-0.01670828,-0.1626219,0.1014957,0.002410606,-0.3948616,-0.769017,1.712705,-0.09238215,0.04692205,0.02459028,-0.8427653,-2.330408,1.550254,-0.695155,1.174697,-0.309987,303.4742,211.0926,2.97102
0,0.01111111,-0.1215926,-0.5026866,0.06507654,-1.316708,-0.7784446,-1.448599,-1.322296,0.006858721,-0.1626219,0.1014957,0.002410606,-0.3948616,-0.769017,1.712705,-0.09238215,0.04692205,0.02459028,-0.8427653,-2.330408,1.550254,-0.6949213,1.174896,-0.3111456,303.3214,211.0365,2.968028
0,0.02222222,-0.1173939,-0.4740064,0.05520692,-1.316623,-0.7740936,-1.44849,-1.32356,-0.1156908,-0.1616671,0.09516197,-0.004055955,-0.3949905,-0.7667603,1.712372,-0.08916947,0.03950995,0.02130769,-0.8426226,-2.330165,1.550963,-0.6946412,1.175133,-0.312224,303.2291,210.8989,2.944716
0,0.03333334,-0.1154493,-0.4133971,0.0449586,-1.316348,-0.7662314,-1.447881,-1.321064,0.2292185,-0.1479236,0.09302574,-0.01274181,-0.3952413,-0.7612391,1.710202,-0.08825074,0.03632334,0.01489004,-0.8424937,-2.329056,1.552136,-0.6943458,1.175383,-0.3130373,303.1086,210.7643,2.940761
0,0.04444445,-0.1081567,-0.3644032,0.04019541,-1.316333,-0.7640183,-1.447431,-1.322087,-0.09559894,-0.118028,0.08845053,-0.002454266,-0.3949489,-0.7590771,1.708566,-0.08402298,0.02999301,0.01050885,-0.8425123,-2.328886,1.55278,-0.69417,1.17548,-0.3142672,303.1796,210.5759,3.190117
0,0.05555556,-0.09975228,-0.3165438,0.02906621,-1.316132,-0.7622867,-1.447118,-1.322392,-0.02681411,-0.1094683,0.07655533,0.009056642,-0.3944014,-0.7581045,1.70859,-0.07972825,0.01940009,0.006133161,-0.8426087,-2.329136,1.553667,-0.6938208,1.17559,-0.3156708,303.2402,210.3088,3.344558
0,0.06666667,-0.09556352,-0.291012,0.02454439,-1.315937,-0.7598217,-1.446822,-1.322647,-0.02318637,-0.1031256,0.06584287,0.01101293,-0.3941862,-0.7569993,1.708495,-0.07450742,0.01521152,0.0006456636,-0.8428532,-2.329143,1.554389,-0.6932935,1.175747,-0.317148,303.2487,210.0619,3.310595
0,0.07777778,-0.08922283,-0.2538594,0.009246249,-1.315231,-0.7585684,-1.446622,-1.322899,-0.02280976,-0.08609073,0.05822544,0.01502253,-0.3938059,-0.756129,1.708017,-0.06820004,0.00784345,-0.005930519,-0.8431382,-2.329383,1.5551,-0.6926829,1.17599,-0.3185444,303.2301,209.8266,3.14832
0,0.08888889,-0.08077549,-0.2145691,-0.004992656,-1.31454,-0.757583,-1.446338,-1.322707,0.01767287,-0.07117946,0.05490645,0.01696661,-0.3934991,-0.7547915,1.707049,-0.06502434,0.00468941,-0.008160198,-0.8433751,-2.329559,1.55588,-0.6920502,1.176332,-0.3197108,303.1805,209.5843,3.024874
0,0.1,-0.07556776,-0.1688478,-0.0150628,-1.313902,-0.7574925,-1.445763,-1.323023,-0.02911973,-0.06051056,0.04623543,0.024227,-0.3929121,-0.7545406,1.707067,-0.0607127,-0.006968673,-0.01253424,-0.8436575,-2.330292,1.556857,-0.6915469,1.176697,-0.3207196,303.1131,209.3333,3.013405
0,0.1111111,-0.06505849,-0.113529,-0.02163172,-1.318639,-0.7570738,-1.445139,-1.322977,0.004389534,-0.04770888,0.0375435,0.03252717,-0.3922618,-0.7542748,1.707117,-0.05452395,-0.01541553,-0.02337443,-0.8443754,-2.331043,1.55781,-0.6912415,1.17704,-0.3215286,303.0365,209.0807,3.066789
0,0.1222222,-0.06093901,-0.06885579,-0.02957793,-1.318043,-0.7580273,-1.444173,-1.322831,0.01324253,-0.04454239,0.03540514,0.03141011,-0.3918724,-0.7533614,1.706735,-0.0546543,-0.02182127,-0.03081838,-0.8450087,-2.331712,1.558864,-0.6911674,1.177353,-0.322095,302.9805,208.8968,3.125688
0,0.1333333,-0.05588085,0.02369345,-0.03897936,-1.319948,-0.7610579,-1.443153,-1.322628,0.01839648,-0.03507721,0.02580619,0.02588845,-0.3917755,-0.7535468,1.706946,-0.05285791,-0.01541875,-0.03835467,-0.8457651,-2.331815,1.559492,-0.6912715,1.177712,-0.3222935,303.0217,208.9417,2.931536
0,0.1444445,-0.05816395,0.07576861,-0.04917222,-1.319366,-0.7638079,-1.441621,-1.322575,0.004736375,-0.006363164,0.02994329,0.01817822,-0.3918261,-0.7522642,1.704815,-0.04871151,-0.01429714,-0.04169475,-0.8464926,-2.332014,1.559998,-0.6914374,1.17831,-0.3220558,303.0878,209.4203,2.460347
0,0.1555556,-0.06154047,0.1521994,-0.06806024,-1.320551,-0.7678937,-1.439883,-1.322989,-0.03798807,0.004416074,0.02759866,0.03189415,-0.3909606,-0.7519345,1.704042,-0.04719649,-0.02811268,-0.0342537,-0.8465976,-2.333109,1.561207,-0.6918934,1.178927,-0.3217554,303.018,209.6243,2.513743
0,0.1666667,-0.06605798,0.2361918,-0.08184434,-1.31977,-0.773896,-1.437384,-1.322413,0.05303416,0.009784465,0.02000878,0.04135111,-0.3901222,-0.7523419,1.704242,-0.04498747,-0.03553791,-0.03537532,-0.8470178,-2.334076,1.562367,-0.6926599,1.179514,-0.3215335,302.8747,209.8618,2.639174
0,0.1777778,-0.06727657,0.2956475,-0.09310903,-1.320804,-0.7785538,-1.435685,-1.322438,-0.002908023,0.02477586,0.009102203,0.05600223,-0.3890021,-0.7535803,1.704568,-0.04518513,-0.03768303,-0.04282561,-0.8477747,-2.334768,1.563326,-0.693633,1.180076,-0.3212912,302.7642,210.0095,2.751395
0,0.1888889,-0.07617183,0.4104971,-0.1083437,-1.319979,-0.7878712,-1.43196,-1.322169,0.02475283,0.04384729,-0.01344883,0.06090711,-0.3882921,-0.7561439,1.705752,-0.0453384,-0.0387539,-0.04814893,-0.8485342,-2.335253,1.564239,-0.6947203,1.180703,-0.3209656,302.7012,210.2753,2.723528
0,0.2,-0.07844754,0.4657317,-0.1217816,-1.319147,-0.7955661,-1.429078,-1.322601,-0.03978742,0.05323466,-0.04228246,0.06158165,-0.3878154,-0.7600678,1.708642,-0.04877669,-0.05054852,-0.06187436,-0.8497492,-2.336613,1.56581,-0.6959989,1.181448,-0.3204511,302.6647,210.4849,2.681683
