loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotE,bDotE,gDotE,aE,bE,gE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
7,0,-0.7460802,-0.3340665,0.02941394,-1.244193,3.457438,-2.936413,0.107579,0.1107311,-0.3691391,-1.301777,3.583149,1.406465,-0.46472,0.1629183,0.04459657,-0.4584994,3.587876,-0.2834908,-0.103754,0.1761444,0.04831642,-0.86748,1.606334,-0.07299937,0.1975672,1.12551,0.6937234,294.5328,322.5162,26.68449
7,0.01111111,-0.6938952,-0.3361136,0.03284243,-1.243907,3.461455,-2.931678,0.1001535,0.1128511,-0.3648164,-1.301114,3.587445,1.404453,-0.4583288,0.150091,0.04980418,-0.4581766,3.591163,-0.2813292,-0.09846639,0.1675428,0.05464683,-0.8666927,1.608368,-0.07337461,0.1959628,1.125318,0.6955442,294.6397,321.4801,27.33222
7,0.02222222,-0.6374425,-0.3179736,0.02974188,-1.243667,3.464472,-2.927387,0.09192477,0.1064401,-0.3306649,-1.30065,3.590376,1.402858,-0.4563068,0.1319966,0.0475897,-0.4579902,3.594055,-0.2783818,-0.08894666,0.1514337,0.06837535,-0.8654773,1.610135,-0.07381271,0.194251,1.124932,0.6975201,294.6248,320.9677,27.36289
7,0.03333334,-0.5767474,-0.2806459,0.02754882,-1.243477,3.46646,-2.923765,0.09014352,0.07980174,-0.2923008,-1.300935,3.592523,1.401316,-0.4351255,0.1213046,0.03881256,-0.458191,3.596406,-0.2762026,-0.09432597,0.1429332,0.06940155,-0.8648301,1.611771,-0.07362042,0.193076,1.124758,0.6989477,294.5055,320.6565,27.23325
7,0.04444445,-0.5331242,-0.219899,0.02510244,-1.243649,3.466842,-2.919121,0.0818772,0.06167686,-0.2645353,-1.301186,3.59471,1.400008,-0.375297,0.1455727,0.04897626,-0.4580759,3.602873,-0.2793105,-0.1070888,0.1473053,0.06627097,-0.86433,1.614391,-0.07366144,0.191631,1.124662,0.700748,294.4718,320.1461,27.39096
7,0.05555556,-0.5075773,-0.1868758,0.0217355,-1.243555,3.467856,-2.914705,0.05667302,0.0531209,-0.2217142,-1.300978,3.595856,1.399888,-0.309105,0.173032,0.05268238,-0.4582736,3.609629,-0.2842637,-0.1092092,0.1515881,0.06315585,-0.8631572,1.616811,-0.07386943,0.1907991,1.124576,0.7018343,294.2908,320.3314,26.94643
7,0.06666667,-0.4681516,-0.1507218,0.00990051,-1.243389,3.468246,-2.910858,0.03656393,0.06480826,-0.2044977,-1.300162,3.59771,1.399598,-0.2071871,0.2122945,0.00387473,-0.4609729,3.616772,-0.2919362,-0.1091624,0.1568895,0.06744807,-0.862412,1.619394,-0.07436211,0.189749,1.124371,0.7031509,294.1523,320.54,26.5068
7,0.07777778,-0.4340181,-0.1443976,-0.002800703,-1.242636,3.469509,-2.907731,0.01745249,0.09141797,-0.1926179,-1.298462,3.599814,1.399488,-0.1798074,0.2144675,-0.02942063,-0.4632127,3.621156,-0.2950079,-0.08799291,0.1354052,0.07156003,-0.8609334,1.620212,-0.07455466,0.1891036,1.124245,0.7040737,293.8011,321.6233,25.27009
7,0.08888889,-0.3828689,-0.1571299,-0.004620537,-1.24209,3.471845,-2.905754,0.01434404,0.0882156,-0.1829869,-1.297885,3.601408,1.398907,-0.2034682,0.1677091,-0.03576213,-0.4638848,3.621736,-0.2924566,-0.08384924,0.1215825,0.06082065,-0.860609,1.621251,-0.0744974,0.1885635,1.124025,0.7046856,293.3631,322.9405,23.90724
7,0.1,-0.331693,-0.1709952,-0.01066087,-1.241447,3.474394,-2.904279,0.01332241,0.07436512,-0.179784,-1.297876,3.603399,1.398259,-0.2121069,0.1272439,-0.03370548,-0.4641389,3.621451,-0.2895189,-0.07972645,0.1121039,0.03731665,-0.8610697,1.622432,-0.0743986,0.1881376,1.124032,0.7054973,293.1071,323.9399,22.92963
