loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,0.07671262,-0.6848781,0.7753241,-1.322238,3.483259,-3.031689,-1.323876,0.07966185,0,0,12.69795,13.64614,-0.3110962,0.8736308,-0.4777142,-0.5532808,3.800898,-0.3124982,-0.1006789,0.4608306,0.4851443,-0.8421326,1.802236,-0.08616231,0.2159223,1.127108,0.6790596,302.2318,329.8968,3.07421
3,0.01111111,0.06813955,-0.6764342,0.7699432,-1.329704,3.491564,-3.034183,-1.324675,-0.07325268,0,0,12.61975,13.99804,-0.3305431,0.8201332,-0.3668953,-0.5557922,3.813969,-0.3193234,-0.06772051,0.4074524,0.5041265,-0.8361964,1.806633,-0.08954346,0.2127171,1.125887,0.6798338,302.7697,328.414,4.226491
3,0.02222222,0.06271859,-0.6669259,0.752841,-1.336146,3.498801,-3.035673,-1.323748,0.08596218,0,0,12.54154,14.26197,-0.3394631,0.7613236,-0.2700217,-0.557488,3.825628,-0.3252223,-0.02906401,0.3700999,0.5603207,-0.8285009,1.811422,-0.0937691,0.2084737,1.124274,0.6801047,303.1299,328.2032,3.868087
3,0.03333334,0.05733398,-0.6606354,0.7421596,-1.343213,3.506942,-3.037889,-1.326494,-0.2514984,0,0,12.47312,14.42815,-0.3262905,0.7366651,-0.2158551,-0.5607014,3.838507,-0.3330477,-0.002941199,0.3476851,0.6358002,-0.8193146,1.8171,-0.09853137,0.203545,1.122689,0.6801078,303.4942,327.9536,3.294291
3,0.04444445,0.04338314,-0.657775,0.7123451,-1.349183,3.514952,-3.039646,-1.326521,9.907621E-05,0,0,12.40469,14.56501,-0.3068663,0.7632007,-0.1914443,-0.5648937,3.854219,-0.3436623,0.03870442,0.3040842,0.7985109,-0.8049101,1.821603,-0.103614,0.2004679,1.122341,0.6797175,304.4853,324.2517,7.0672
3,0.05555556,-0.01121362,-0.6211763,0.6588963,-1.354021,3.521198,-3.039219,-1.327339,-0.07482064,0,0,12.35582,14.69208,-0.3094165,0.8837782,-0.2742353,-0.5754185,3.874531,-0.357298,0.07165685,0.3028802,0.7918466,-0.7969493,1.827503,-0.1094658,0.1983147,1.122042,0.6799451,304.5091,323.8513,7.569869
3,0.06666667,-0.08607508,-0.5685294,0.6202597,-1.35924,3.52669,-3.037158,-1.327292,0.005123772,0,0,12.30694,14.89736,-0.305904,0.9522132,-0.3838329,-0.5875285,3.891289,-0.3678917,0.07174337,0.2910044,0.6799964,-0.7937844,1.832122,-0.1134666,0.1973177,1.12173,0.680411,304.742,323.6494,8.352933
3,0.07777778,-0.1278123,-0.5380543,0.5913266,-1.364333,3.532421,-3.035537,-1.32578,0.1383853,0,0,12.27762,15.20039,-0.2553369,0.9171115,-0.44825,-0.5973795,3.901579,-0.3752503,0.003318556,0.3059467,0.5132889,-0.793801,1.837574,-0.1151021,0.1971075,1.121451,0.6808419,304.7792,324.5179,8.305449
3,0.08888889,-0.1696348,-0.4970472,0.5484458,-1.368689,3.537289,-3.03324,-1.324555,0.111039,0,0,12.25806,15.5914,-0.1800462,0.8179337,-0.4693523,-0.6048998,3.907374,-0.3804304,-0.06719911,0.3400735,0.3433655,-0.7955906,1.844302,-0.1167221,0.1969104,1.121209,0.6816639,304.6917,325.6659,7.896658
3,0.1,-0.1655487,-0.4792887,0.5109719,-1.372627,3.542636,-3.032546,-1.32534,-0.07229096,0,0,12.24829,16.09971,-0.1227055,0.6206807,-0.4447213,-0.6092114,3.905965,-0.3796933,-0.09579131,0.3389639,0.2360058,-0.796829,1.849442,-0.1183083,0.1964333,1.121048,0.6826474,304.7686,326.5627,7.748006
