loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0,-0.4498507,-0.1595125,-0.2059,-1.241815,3.465065,2.864916,-1.80792,0.002332276,0,0,-0.7451355,0.4413769,0.09634952,-0.7700487,4.073398,-0.4873428,-0.3059466,0.5194348,0.4374359,-0.6076492,2.144579,-0.3621111,0.216806,1.14284,0.6810474,299.189,320.0472,11.65369
0,0.01111111,-0.4574682,-0.1338429,-0.1945153,-1.240344,3.466215,2.869995,-1.807715,0.01877304,0,0,-0.7717564,0.4937169,0.07865056,-0.7732621,4.08285,-0.4844844,-0.2870729,0.529779,0.5449304,-0.6008038,2.161116,-0.3732953,0.2146948,1.142603,0.6847053,299.4109,317.815,13.72674
0,0.02222222,-0.4651599,-0.09850479,-0.1768548,-1.238923,3.466405,2.875425,-1.807918,-0.01866917,0,0,-0.6759,0.6757836,0.01229507,-0.7819339,4.099,-0.4920342,-0.2680331,0.5317338,0.5691863,-0.5958024,2.176361,-0.3833096,0.2125486,1.142035,0.6882553,299.4781,316.6906,14.52648
0,0.03333334,-0.4780777,-0.08137324,-0.1654174,-1.23758,3.467257,2.880961,-1.807677,0.02237421,0,0,-0.4939432,0.9003152,-0.09201655,-0.7949882,4.117782,-0.506216,-0.2406375,0.5093654,0.4945193,-0.5957848,2.185658,-0.3894524,0.2104675,1.141275,0.691639,299.4613,316.2368,14.6029
0,0.04444445,-0.4856159,-0.08020306,-0.1537619,-1.236543,3.468495,2.886243,-1.807723,-0.004389272,0,0,-0.3392523,0.9850535,-0.09956527,-0.8027769,4.133565,-0.5186911,-0.1742297,0.4611531,0.4290193,-0.5950748,2.192692,-0.3957284,0.2086844,1.140491,0.6945859,299.4229,315.8382,14.62627
0,0.05555556,-0.4739388,-0.09281564,-0.1418216,-1.235792,3.470336,2.890554,-1.807536,0.0172085,0,0,-0.2796422,0.9177011,-0.08329678,-0.8070496,4.1427,-0.5239967,-0.1278466,0.4012617,0.4115591,-0.5921293,2.199867,-0.4016041,0.2072855,1.139816,0.6971589,299.3974,315.4832,14.71435
0,0.06666667,-0.4570884,-0.08713804,-0.1151444,-1.235597,3.471286,2.894754,-1.80777,-0.0214278,0,0,-0.2704543,0.7055644,-0.05106585,-0.8064744,4.143149,-0.5215197,-0.09302726,0.3595186,0.3995404,-0.5894012,2.206911,-0.4075446,0.2061476,1.139318,0.6996774,299.3723,315.1816,14.90785
0,0.07777778,-0.4372137,-0.06631303,-0.06943691,-1.236313,3.471028,2.899014,-1.808665,-0.08155034,0,0,-0.2861964,0.4616617,-0.05277518,-0.8051695,4.138324,-0.51434,-0.04225445,0.3059603,0.3937922,-0.5862182,2.212587,-0.4134334,0.2051551,1.139041,0.7021597,299.2751,314.9046,15.20717
0,0.08888889,-0.4088787,-0.04960851,-0.01296404,-1.23807,3.470646,2.902832,-1.809181,-0.04653766,0,0,-0.2722399,0.2422419,-0.07811851,-0.804379,4.131516,-0.5070794,-0.006195091,0.26417,0.4083989,-0.5821596,2.218948,-0.4199086,0.2041769,1.138986,0.7045847,299.1051,314.6436,15.54338
0,0.1,-0.3815643,-0.0456903,0.0425759,-1.240313,3.47035,2.9064,-1.809512,-0.0299905,0,0,-0.2282619,0.08878812,-0.1067331,-0.804598,4.125544,-0.5018786,0.02450489,0.2138903,0.4240956,-0.5775097,2.224151,-0.425644,0.2031594,1.139122,0.706898,298.8606,314.4129,15.82187
0,0.1111111,-0.3657584,-0.04747134,0.06934424,-1.242118,3.470598,2.910001,-1.809922,-0.03721754,0,0,-0.1807389,0.01198507,-0.1244693,-0.8050779,4.121086,-0.4983898,0.04239249,0.1743672,0.426037,-0.5734622,2.22901,-0.4307615,0.2021086,1.139417,0.7091172,298.563,314.2816,15.94474
0,0.1222222,-0.3436448,-0.04695733,0.1078374,-1.244592,3.47041,2.913187,-1.810043,-0.01090996,0,0,-0.1767927,0.002491791,-0.1554305,-0.8075093,4.119088,-0.4952276,0.05065581,0.1445104,0.413143,-0.5699042,2.233155,-0.4350838,0.2010297,1.139843,0.7111973,298.2465,314.2792,15.9426
