loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
7,0,0.6669992,-0.7114542,0.3302231,-1.261686,3.544769,-2.89019,-1.399543,-0.5835879,0,0,-0.2630814,0.6645875,-0.09766872,-0.7092152,4.121022,-0.4852618,-0.2942744,0.3613716,0.624793,-0.6038275,2.202587,-0.4652172,0.1499212,1.145029,0.7601196,292.7081,305.6618,21.20655
7,0.01111111,0.6531321,-0.7124642,0.3323027,-1.263304,3.553889,-2.899746,-1.406288,-0.6067343,0,0,-0.2228697,0.7691497,-0.1433741,-0.7182423,4.135743,-0.4954944,-0.2894606,0.3635834,0.686537,-0.596881,2.217175,-0.4741798,0.1478255,1.143982,0.7600328,292.5074,305.6472,20.87111
7,0.02222222,0.6329323,-0.6953669,0.332046,-1.265412,3.561997,-2.908601,-1.414159,-0.7093602,0,0,-0.2048482,0.8629466,-0.1612844,-0.7266094,4.151052,-0.5055202,-0.2849897,0.3614746,0.709933,-0.5910082,2.230365,-0.4821682,0.144972,1.142491,0.7599088,292.4634,305.6514,20.39731
7,0.03333334,0.5712034,-0.660058,0.3346049,-1.267748,3.569146,-2.914845,-1.421555,-0.6651796,0,0,-0.1675695,1.006771,-0.1652808,-0.7366538,4.171456,-0.5202693,-0.2713284,0.3539384,0.6917136,-0.5864696,2.242181,-0.4894653,0.1415123,1.140636,0.7594668,292.5611,305.5817,19.90109
7,0.04444445,0.5094885,-0.6205184,0.3328874,-1.270455,3.575602,-2.920069,-1.428514,-0.6257498,0,0,-0.1249402,1.08985,-0.1642055,-0.7457266,4.189196,-0.5334597,-0.2599305,0.3442662,0.6585946,-0.5829346,2.252877,-0.4958822,0.137623,1.138513,0.7585611,292.744,305.4307,19.3402
7,0.05555556,0.4615926,-0.588393,0.3376876,-1.273377,3.582075,-2.925442,-1.433392,-0.4360604,0,0,-0.1120698,1.090866,-0.1504335,-0.7530503,4.203821,-0.5434422,-0.2539595,0.3250149,0.6180684,-0.5796567,2.262266,-0.5010905,0.1334825,1.136248,0.7573874,292.9542,305.2781,18.60103
7,0.06666667,0.4265063,-0.5552944,0.3371864,-1.276041,3.588049,-2.930779,-1.439471,-0.547569,0,0,-0.1734029,0.9904629,-0.07369831,-0.7547867,4.214125,-0.546744,-0.2562913,0.3111467,0.6010658,-0.5757563,2.27233,-0.5065892,0.1292443,1.134075,0.7562789,293.2291,305.256,17.65776
7,0.07777778,0.4126961,-0.5253816,0.342125,-1.278973,3.593855,-2.936629,-1.446513,-0.634571,0,0,-0.2637537,0.872103,-0.04051593,-0.7570781,4.221532,-0.5460919,-0.254087,0.3122231,0.6074306,-0.571402,2.284412,-0.514066,0.1250566,1.132256,0.75546,293.4819,305.2755,16.74477
7,0.08888889,0.3776998,-0.4678733,0.3328181,-1.281668,3.597683,-2.940826,-1.453344,-0.6148492,0,0,-0.3019816,0.7814839,-0.01928222,-0.7594009,4.228792,-0.5466093,-0.269996,0.3271946,0.6086138,-0.5674397,2.297554,-0.5216349,0.1210905,1.130947,0.7549289,293.5918,305.1747,16.08936
7,0.1,0.3639094,-0.4647811,0.3189078,-1.284028,3.603498,-2.946026,-1.460254,-0.6226713,0,0,-0.3297021,0.6781519,-0.02054952,-0.7619959,4.233555,-0.5456796,-0.2827795,0.3368176,0.604442,-0.563829,2.310025,-0.5285536,0.1174841,1.130158,0.7546808,293.5041,304.9155,15.73359
7,0.1111111,0.3362986,-0.4778179,0.290205,-1.285429,3.609855,-2.950608,-1.465235,-0.4463824,0,0,-0.3266506,0.6462697,-0.04304993,-0.7661206,4.239871,-0.5467387,-0.2902122,0.3347235,0.6077024,-0.5597672,2.322281,-0.535485,0.1143472,1.129794,0.7546246,293.249,304.618,15.56767
7,0.1222222,0.2980077,-0.471474,0.2782722,-1.287296,3.615534,-2.95435,-1.471264,-0.5439298,0,0,-0.3066537,0.6921901,-0.08139424,-0.7730603,4.249613,-0.5510621,-0.2934391,0.3368545,0.6024005,-0.5561213,2.334664,-0.5426756,0.1116283,1.129737,0.7549347,292.9184,304.3909,15.52793
7,0.1333333,0.2671569,-0.4629607,0.2716612,-1.289173,3.621053,-2.957902,-1.475967,-0.4218578,0,0,-0.2556164,0.7668058,-0.09745266,-0.7803541,4.261829,-0.5586276,-0.2958532,0.3346659,0.5704585,-0.5535396,2.345428,-0.5485159,0.1092268,1.12978,0.7553871,292.5107,304.1002,15.79035
7,0.1444445,0.2150471,-0.4320417,0.2636542,-1.29117,3.625269,-2.959717,-1.480375,-0.3962222,0,0,-0.2236037,0.7901974,-0.08798879,-0.7858583,4.27261,-0.5648157,-0.2911695,0.3164304,0.505461,-0.5521553,2.353492,-0.5523008,0.1069808,1.129739,0.7558309,292.1712,303.7989,16.10345
7,0.1555556,0.1874002,-0.4117637,0.2601471,-1.293517,3.629615,-2.961983,-1.484996,-0.4162669,0,0,-0.206266,0.7868497,-0.04228592,-0.7894286,4.283614,-0.5709029,-0.2893901,0.2940027,0.4745837,-0.5499023,2.361685,-0.5561735,0.1047373,1.129553,0.7562253,291.9371,303.6862,16.19506
7,0.1666667,0.1480807,-0.3862655,0.2458583,-1.295171,3.633417,-2.96326,-1.488157,-0.2826263,0,0,-0.2284602,0.7942127,-0.01229352,-0.7936113,4.295034,-0.5755571,-0.2772192,0.2576419,0.4212714,-0.5482095,2.367156,-0.5581024,0.1024038,1.129186,0.7564866,291.7731,303.6635,16.13055
7,0.1777778,0.1332257,-0.3681549,0.2402962,-1.297384,3.637219,-2.965357,-1.492656,-0.4064831,0,0,-0.259108,0.8143289,0.02844521,-0.7976881,4.307879,-0.5804754,-0.2678719,0.2415912,0.3999031,-0.5461462,2.374581,-0.561842,0.09995588,1.128728,0.7566361,291.7389,303.7654,15.81697
